id,nome,sg_partido,uf,cargo,data_inicio,data_fim,legislatura,casa
160545,Alexandre Leite ,DEM,SP,3º Suplente de Secretário,2021-02-03,NA,56,camara
204541,Eduardo Bismarck ,PDT,CE,1º Suplente de Secretário,2021-02-03,NA,56,camara
204499,Cássio Andrade ,PSB,PA,4º Suplente de Secretário,2021-02-03,NA,56,camara
74270,Gilberto Nascimento ,PSC,SP,2º Suplente de Secretário,2021-02-03,NA,56,camara
74471,André de Paula ,PSD,PE,2º Vice-Presidente,2021-02-03,NA,56,camara
204357,Rose Modesto ,PSDB,MS,3º Secretário,2021-02-03,NA,56,camara
74478,Luciano Bivar ,PSL,PE,1º Secretário,2021-02-03,NA,56,camara
204428,Marília Arraes ,PT,PE,2º Secretário,2021-02-03,NA,56,camara
160541,Arthur Lira ,PP,AL,Presidente,2021-02-01,NA,56,camara
204556,Marcelo Ramos ,PR,AM,1º Vice-Presidente,2021-02-03,NA,56,camara
178945,Rosangela Gomes ,PRB,RJ,4º Secretário,2021-02-03,NA,56,camara
5732,Senador Rodrigo Pacheco,DEM,MG,Presidente,NA,NA,56,senado
5748,Senador Veneziano Vital do Rêgo,MDB,PB,1º Vice-Presidente,NA,NA,56,senado
5322,Senador Romário,PL,RJ,2º Vice-Presidente,NA,NA,56,senado
5385,Senador Irajá,PSD,TO,1º Secretário,NA,NA,56,senado
5531,Senador Elmano Férrer,PP,PI,2º Secretário,NA,NA,56,senado
5352,Senador Rogério Carvalho,PT,SE,3º Secretário,NA,NA,56,senado
5411,Senador Weverton,PDT,MA,4º Secretário,NA,NA,56,senado
5350,Senador Jorginho Mello,PL,SC,1º Suplente,NA,NA,56,senado
5585,Senador Luiz do Carmo,MDB,GO,2º Suplente,NA,NA,56,senado
5718,Senadora Eliziane Gama,CIDADANIA,MA,3º Suplente,NA,NA,56,senado
3806,Senador Zequinha Marinho,PSC,PA,4º Suplente,NA,NA,56,senado
