sigla_tipo,numero,ano,ementa,votada_plenario,cod_tipo,id,casa,tema,autor,link
PL,4690,2019,"Altera a Lei nº 9.605, de 12 de fevereiro de 1998, para permitir a destruição dos instrumentos da infração e ampliar as sanções nos casos de crimes contra a flora.",0,139,2217254,camara,Meio Ambiente e Desenvolvimento Sustentável,Zé Vitor,https://www.camara.leg.br/proposicoesWeb/fichadetramitacao?idProposicao=2217254
PL,4706,2019,"Dispõe sobre a exportação e a participação de produtos alimentícios artesanais de origem animal em feiras, provas e concursos internacionais.",0,139,2217357,camara,"Agricultura, Pecuária, Pesca e Extrativismo",Lincoln Portela,https://www.camara.leg.br/proposicoesWeb/fichadetramitacao?idProposicao=2217357
PL,4708,2019,Dispõe sobre a profissão de guarda-parque.,0,139,2217369,camara,Meio Ambiente e Desenvolvimento Sustentável,Luiz Antônio Corrêa,https://www.camara.leg.br/proposicoesWeb/fichadetramitacao?idProposicao=2217369
PL,4765,2019,Cria subvenção econômica a ser concedida na venda de café por produtores rurais ou por suas cooperativas.,0,139,2217798,camara,"Agricultura, Pecuária, Pesca e Extrativismo",Diego Andrade; Emidinho Madeira,https://www.camara.leg.br/proposicoesWeb/fichadetramitacao?idProposicao=2217798
PL,4778,2019,Institui a Política Nacional de Desenvolvimento Rural Sustentável em Microbacias Hidrográficas e dá outras providências.,0,139,2217861,camara,"Agricultura, Pecuária, Pesca e Extrativismo",Christino Aureo,https://www.camara.leg.br/proposicoesWeb/fichadetramitacao?idProposicao=2217861
PL,4780,2019,"Cria o Campus Rural do Instituto Federal de Educação, Ciência e Tecnologia do Pará no Município de Novo Repartimento, no Estado do Pará.",0,139,2217869,camara,"Agricultura, Pecuária, Pesca e Extrativismo",Paulo Bengtson,https://www.camara.leg.br/proposicoesWeb/fichadetramitacao?idProposicao=2217869
PL,4782,2019,Dispõe sobre o pagamento por serviços ambientais pela adoção de práticas que contribuam para a manutenção das populações de abelhas.,0,139,2217903,camara,Meio Ambiente e Desenvolvimento Sustentável,Nereu Crispim,https://www.camara.leg.br/proposicoesWeb/fichadetramitacao?idProposicao=2217903
PL,4784,2019,Dispõe sobre a informação obrigatória dos agrotóxicos utilizados na fase de produção agrícola de alimentos ofertados ao consumidor.,0,139,2217912,camara,"Agricultura, Pecuária, Pesca e Extrativismo",Jesus Sérgio,https://www.camara.leg.br/proposicoesWeb/fichadetramitacao?idProposicao=2217912
PDL,596,2019,"Susta os efeitos do Decreto nº 9.760, de 11 de abril de 2019, que ""Altera o Decreto nº 6.514, de 22 de julho de 2008, que dispõe sobre as infrações e sanções administrativas ao meio ambiente e estabelece o processo administrativo federal para apuração destas infrações"".",0,557,2218177,camara,Meio Ambiente e Desenvolvimento Sustentável,José Guimarães,https://www.camara.leg.br/proposicoesWeb/fichadetramitacao?idProposicao=2218177
PDL,597,2019,"Susta a Instrução Normativa n° 76, de 30 de novembro de 2018, emitida pelo Ministério da Agricultura, Pecuária e Abastecimento.",0,557,2218243,camara,"Agricultura, Pecuária, Pesca e Extrativismo",Marcon,https://www.camara.leg.br/proposicoesWeb/fichadetramitacao?idProposicao=2218243
PDL,598,2019,"Susta a Instrução Normativa n° 77, de 30 de novembro de 2018, emitida pelo Ministério da Agricultura, Pecuária e Abastecimento.",0,557,2218244,camara,"Agricultura, Pecuária, Pesca e Extrativismo",Marcon,https://www.camara.leg.br/proposicoesWeb/fichadetramitacao?idProposicao=2218244
PL,4823,2019,"Restringe a incidência da Taxa de Controle e Fiscalização Ambiental às atividades e empreendimentos sujeitos ao poder de polícia do Instituto Brasileiro do Meio Ambiente e dos Recursos Naturais Renováveis, de acordo com os critérios estabelecidos na Lei complementar n° 140, de 8 de dezembro de 2011.",0,139,2218288,camara,Meio Ambiente e Desenvolvimento Sustentável,Lucio Mosquini,https://www.camara.leg.br/proposicoesWeb/fichadetramitacao?idProposicao=2218288
