sigla_tipo,numero,ano,ementa,id,casa,tema,autor,link
PL,2874,2019,Dispõe sobre a doação de alimentos por supermercados e estabelecimentos similares.,136744,senado,Assistência social,Senador Ciro Nogueira (PP/PI),https://www25.senado.leg.br/web/atividade/materias/-/materia/136744
PL,4028,2019,Declara feriado nacional o dia 13 de março consagrado à “Santa Dulce dos Pobres”.,137781,senado,Data comemorativa,Senador Angelo Coronel (PSD/BA),https://www25.senado.leg.br/web/atividade/materias/-/materia/137781
PDL,482,2019,"Aprova o ato que outorga autorização à Associação de Radiodifusão Comunitária de Novo Destino para executar serviço de radiodifusão comunitária no Município de Milhã, Estado do Ceará.",137746,senado,Nao especificado, Câmara dos Deputados,https://www25.senado.leg.br/web/atividade/materias/-/materia/137746
PL,1856,2019,Institui o Fundo Nacional de Apoio à cultura da Palmeira do Babaçu – FUNBABAÇU.,136022,senado,Desenvolvimento regional,Senador Weverton (PDT/MA),https://www25.senado.leg.br/web/atividade/materias/-/materia/136022
PL,3113,2019,"Altera a Lei 10.826, de 22 de dezembro de 2003, para exigir a apresentação de exame toxicológico com resultado negativo para a obtenção da autorização de posse ou porte de armas de fogo.",136937,senado,Segurança pública,Senador Styvenson Valentim (PODE/RN),https://www25.senado.leg.br/web/atividade/materias/-/materia/136937
PLP,155,2019,"Altera a Lei Complementar nº 116, de 31 de julho de 2003, que dispõe sobre o Imposto Sobre Serviços de Qualquer Natureza, de competência dos Municípios e do Distrito Federal, e dá outras providências, para permitir a incidência do imposto nas situações em que especifica.",137252,senado,Tributação,Senador Eduardo Gomes (MDB/TO),https://www25.senado.leg.br/web/atividade/materias/-/materia/137252
PL,3817,2019,"Altera a Lei n° 8.958, de 20 dezembro de 1994; a Lei nº 9.394, de 20 de dezembro de 1996; a Lei n° 10.973, de 2 dezembro de 2004; e a Lei nº 13.800, de 4 de janeiro de 2019, e dá outras providências para ampliar o financiamento da educação superior no País.",137511,senado,Educação,Senadora Leila Barros (PSB/DF),https://www25.senado.leg.br/web/atividade/materias/-/materia/137511
PL,3165,2019,Dispõe sobre a criação e a estruturação do regime jurídico de Advogado de Empresa Estatal Federal e dá outras providências.,136999,senado,Servidores públicos,Senador Weverton (PDT/MA),https://www25.senado.leg.br/web/atividade/materias/-/materia/136999
PL,633,2019,"Altera a Lei n° 12.527, de 18 de novembro de 2011, que “Regula o acesso a informações previsto no inciso XXXIII do art. 5o, no inciso II do § 3o do art. 37 e no § 2o do art. 216 da Constituição Federal”, para garantir a transparência e privilegiar o princípio da publicidade.",135173,senado,Administração pública: órgãos públicos,Senadora Leila Barros (PSB/DF),https://www25.senado.leg.br/web/atividade/materias/-/materia/135173
PL,3145,2019,"Estabelece a obrigatoriedade dos estabelecimentos hospitalares, clínicas, consultórios médicos e odontológicos, farmácias, hotéis, motéis, casas noturnas e similares anexar aviso, em local visível e de forma destacada, sobre os crimes praticados contra a dignidade sexual de pessoas em situação de vulnerabilidade momentânea (art. 217-A, §1º., do CP), por ingestão ou ministração de substâncias sedativas, químicas ou de teor alcoólico que prejudicam a manifestação da vontade; Determina restrições à divulgação de produtos que resultem na potencialidade de tais ocorrências e riscos, nos termos do art. 220, §3º. I, II, §4º., art. 221, I e IV, art. 227, §4º., todos da CF, bem como disposições da Lei n. 9.294, de 15 de julho de 1996.",136989,senado,Direito penal e processual penal,Senadora Juíza Selma (PSL/MT),https://www25.senado.leg.br/web/atividade/materias/-/materia/136989
PL,1594,2019,"Dispõe sobre sua composição e forma de funcionamento do Conselho de Gestão Fiscal, nos termos do art. 67 da Lei Complementar nº 101, de 4 de maio de 2000.",135820,senado,Fiscalização e controle,Senador José Serra (PSDB/SP),https://www25.senado.leg.br/web/atividade/materias/-/materia/135820
PL,2719,2019,Estabelece o marco regulatório da Atividade de Inteligência Brasileira.,136646,senado,Administração pública: órgãos públicos,Senador Major Olimpio (PSL/SP),https://www25.senado.leg.br/web/atividade/materias/-/materia/136646
PL,585,2019,"Altera o inciso XIV do art. 6º da Lei nº 7.713, de 22 de dezembro de 1988, para incluir o diabetes melito entre os agravos à saúde a cujos portadores é concedida a isenção do imposto de renda sobre os proventos de aposentadoria ou reforma.",135130,senado,Tributação,Senador Alvaro Dias (PODE/PR),https://www25.senado.leg.br/web/atividade/materias/-/materia/135130
PL,1669,2019,"Altera a Lei nº 9.394, de 20 de dezembro de 1996, que estabelece as diretrizes e bases da educação nacional, para permitir que os professores da educação básica pública utilizem os veículos de transporte escolar dos Estados, dos Municípios e do Distrito Federal, nos termos que especifica; e revoga a Lei nº 10.709, de 31 de julho de 2003.",135878,senado,Educação,Senador Carlos Viana (PSD/MG),https://www25.senado.leg.br/web/atividade/materias/-/materia/135878
PL,2707,2019,"Altera a Lei nº 12.334, de 20 de setembro de 2010, que estabelece a Politica Nacional de Segurança de Barragens, para obrigar o empreendedor de barragens para fins de disposição final ou temporária de rejeitos de mineração a contratar auditoria externa.",136643,senado,Meio ambiente,Senadora Rose de Freitas (PODE/ES),https://www25.senado.leg.br/web/atividade/materias/-/materia/136643
PRS,4,2019,Institui o Grupo Parlamentar Brasil-Reino Unido.,135341,senado,Nao especificado,Senador Rodrigo Pacheco (DEM/MG),https://www25.senado.leg.br/web/atividade/materias/-/materia/135341
PL,2013,2019,"Altera a Lei nº 11.350, de 5 de outubro de 2006, que dispõe sobre os direitos dos Agentes Comunitários de Saúde e dos Agentes de Combate às Endemias.",136159,senado,Saúde,Senador Weverton (PDT/MA),https://www25.senado.leg.br/web/atividade/materias/-/materia/136159
PEC,43,2019,"Altera o art. 62 da Constituição Federal, para dispor sobre o rito legislativo das Medidas Provisórias e dá outras providências.",136167,senado,Processo legislativo,"Senador Randolfe Rodrigues (REDE/AP), Senador Alessandro Vieira (CIDADANIA/SE), Senador Alvaro Dias (PODE/PR), Senador Antonio Anastasia (PSDB/MG), Senador Carlos Viana (PSD/MG), Senador Cid Gomes (PDT/CE), Senadora Eliziane Gama (CIDADANIA/MA), Senador Fabiano Contarato (REDE/ES), Senador Flávio Arns (REDE/PR), Senador Humberto Costa (PT/PE), Senador Irajá (PSD/TO), Senador Jorge Kajuru (PSB/GO), Senadora Leila Barros (PSB/DF), Senadora Maria do Carmo Alves (DEM/SE), Senador Mecias de Jesus (PRB/RR), Senador Nelsinho Trad (PSD/MS), Senador Omar Aziz (PSD/AM), Senador Oriovisto Guimarães (PODE/PR), Senador Paulo Paim (PT/RS), Senador Paulo Rocha (PT/PA), Senador Plínio Valério (PSDB/AM), Senador Reguffe (S/Partido/DF), Senador Rodrigo Cunha (PSDB/AL), Senador Rodrigo Pacheco (DEM/MG), Senador Rogério Carvalho (PT/SE), Senador Styvenson Valentim (PODE/RN), Senador Tasso Jereissati (PSDB/CE), Senador Weverton (PDT/MA)",https://www25.senado.leg.br/web/atividade/materias/-/materia/136167
PL,1321,2019,"Altera a Lei nº 9.096, de 19 de setembro de 1995 (Lei dos Partidos Políticos), a fim de assegurar autonomia aos partidos políticos para definir o prazo de duração dos mandatos dos membros dos seus órgãos partidários permanentes ou provisórios; e dá outras providências.",136173,senado,Direito eleitoral e partidos políticos, Câmara dos Deputados,https://www25.senado.leg.br/web/atividade/materias/-/materia/136173
