sigla_tipo,numero,ano,ementa,id,casa,tema,autor,link
PDL,478,2019,"Aprova o ato que outorga autorização à Associação dos Monitores em Organização Social de Wenceslau Guimarães (WG FM) para executar serviço de radiodifusão comunitária no Município de Wenceslau Guimarães, Estado do Bahia.",137742,senado,Nao especificado, Câmara dos Deputados,https://www25.senado.leg.br/web/atividade/materias/-/materia/137742
PRS,8,2019,"Altera a Resolução nº 35, de 2012, do Senado Federal, que dispõe sobre o Regulamento do Sistema Integrado de Saúde (SIS) para disciplinar a assistência à saúde prestada aos Senadores e seus dependentes e extinguir vantagem ilimitada do benefício aos membros da Casa.",135396,senado,Nao especificado,Senador Randolfe Rodrigues (REDE/AP),https://www25.senado.leg.br/web/atividade/materias/-/materia/135396
PL,3687,2019,"Altera a Lei nº 12.651, de 25 de maio de 2012 (Novo Código Florestal) para dispor sobre o CAR e ampliar o prazo de inscrição obrigatória dos produtores rurais.",137404,senado,Meio ambiente,Senador Randolfe Rodrigues (REDE/AP),https://www25.senado.leg.br/web/atividade/materias/-/materia/137404
PRS,7,2019,"Altera o art. 6º da Resolução nº 7, de 2005, do Senado Federal, que estabelece normas para apreciação das indicações para composição do Conselho Nacional de Justiça e do Conselho Nacional do Ministério Público, em face do que dispõe a Emenda Constitucional nº 45, promulgada em 8 de dezembro de 2004, para prever, na indicação de nomes pelo Senado Federal, os mecanismos de participação social que menciona.",135395,senado,Nao especificado,Senador Randolfe Rodrigues (REDE/AP),https://www25.senado.leg.br/web/atividade/materias/-/materia/135395
PL,1330,2019,"Dispõe sobre o recolhimento e a substituição de sacolas plásticas que em sua composição química tenham como base o polietileno, o propileno e o polipropileno.",135595,senado,Meio ambiente,Senador Eduardo Braga (MDB/AM),https://www25.senado.leg.br/web/atividade/materias/-/materia/135595
PL,1553,2019,"Altera a Lei Nº 9.985, de 18 de julho de 2000, para dispor sobre os critérios de criação de unidades de conservação.",135801,senado,Meio ambiente,Senador Marcio Bittar (MDB/AC),https://www25.senado.leg.br/web/atividade/materias/-/materia/135801
PDL,415,2019,"Aprova o ato que renova a autorização outorgada à Associação Comunitária Cultural Ibititaense Rádio Rochedo FM para executar serviço de radiodifusão comunitária no Município de Ibititá, Estado da Bahia.",137411,senado,Nao especificado, Câmara dos Deputados,https://www25.senado.leg.br/web/atividade/materias/-/materia/137411
PDL,49,2019,"Aprova o texto do Acordo entre o Governo da República Federativa do Brasil e o Governo da República da Belarus de Cooperação Educacional, assinado em São Paulo, em 13 de agosto de 2015.",135526,senado,Nao especificado, Câmara dos Deputados,https://www25.senado.leg.br/web/atividade/materias/-/materia/135526
PDL,127,2019,"Aprova o texto do Acordo sobre Serviços Aéreos entre o Governo da República Federativa do Brasil e o Governo da República do Paraguai, assinado em Brasília, em 8 de junho de 2016.",136342,senado,Nao especificado, Câmara dos Deputados,https://www25.senado.leg.br/web/atividade/materias/-/materia/136342
PDL,128,2019,"Aprova o texto do Acordo para a Implementação de Bases de Dados Compartilhadas de Crianças e Adolescentes em Situação de Vulnerabilidade do Mercosul e Estados Associados, bem como do Acordo entre os Estados Partes do Mercosul e Estados Associados sobre Cooperação Regional para a Proteção dos Direitos das Crianças e Adolescentes em Situação de Vulnerabilidade, ambos assinados em San Miguel de Tucumán, em 30 de junho de 2008.",136343,senado,Nao especificado, Câmara dos Deputados,https://www25.senado.leg.br/web/atividade/materias/-/materia/136343
PL,2206,2019,"Altera a Lei nº 11.445, de 5 de janeiro de 2007, com a finalidade de garantir ao usuário residencial dos serviços de água e esgoto inadimplente um prazo de carência para quitar seus débitos antes da interrupção completa dos serviços, ao longo do qual lhe será garantido o fornecimento de água mínimo suficiente para a sua sobrevivência e de sua família, acompanhado do esgotamento sanitário correspondente.",136294,senado,Recursos hídricos,Senador Plínio Valério (PSDB/AM),https://www25.senado.leg.br/web/atividade/materias/-/materia/136294
PL,3228,2019,"Altera o inciso IV do art. 17 da Lei nº 8.629, de 25 de fevereiro de 1993, para vincular o assentamento de trabalhadores rurais a seu domicílio eleitoral.",137062,senado,Política fundiária e reforma agrária,Senador Irajá (PSD/TO),https://www25.senado.leg.br/web/atividade/materias/-/materia/137062
PL,1284,2019,"Confere nova redação ao art. 5º do Decreto-lei nº 79, de 19 de dezembro de 1966, que institui normas para a fixação de preços mínimos e execução das operações de financiamento e aquisição de produtos agropecuários e adota outras providências.",135564,senado,"Agricultura, pecuária e abastecimento",Senador Luis Carlos Heinze (PP/RS),https://www25.senado.leg.br/web/atividade/materias/-/materia/135564
PDL,24,2019,"Susta o Decreto nº 9.759, de 2019, que “Extingue e estabelece diretrizes, regras e limitações para colegiados da administração pública federal.”",136406,senado,Nao especificado,Senadora Eliziane Gama (CIDADANIA/MA),https://www25.senado.leg.br/web/atividade/materias/-/materia/136406
PDL,407,2019,"Aprova o ato que renova a autorização outorgada à Associação Cultural de Armazém para executar serviço de radiodifusão comunitária no Município de Armazém, Estado de Santa Catarina.",137371,senado,Nao especificado, Câmara dos Deputados,https://www25.senado.leg.br/web/atividade/materias/-/materia/137371
PRS,2,2019,Altera o Regimento Interno do Senado Federal para criar a Comissão de Segurança Pública e dá outras providências.,135164,senado,Nao especificado,Senador Major Olimpio (PSL/SP),https://www25.senado.leg.br/web/atividade/materias/-/materia/135164
