bloco_partido,id,nome,cargo,partido,uf,casa
PP,92699,Fernando Monteiro ,Vice-líder,PP,PE,camara
PP,151208,Laercio Oliveira ,Vice-líder,PP,SE,camara
PP,178882,André Fufuca ,Vice-líder,PP,MA,camara
PP,178959,Hiran Gonçalves ,Vice-líder,PP,RR,camara
PP,108338,Jaqueline Cassol ,Vice-líder,PP,RO,camara
PP,204510,Franco Cartafina ,Vice-líder,PP,MG,camara
PP,204440,Christino Aureo ,Vice-líder,PP,RJ,camara
PP,178963,Covatti Filho ,Vice-líder,PP,RS,camara
PP,204380,Celina Leão ,Vice-líder,PP,DF,camara
PSD,160553,Antonio Brito ,Líder,PSD,BA,camara
PSD,141450,Hugo Leal ,Vice-líder,PSD,RJ,camara
PSD,160587,Fábio Trad ,Vice-líder,PSD,MS,camara
PSD,205476,Charles Fernandes ,Vice-líder,PSD,BA,camara
PSD,204522,Marco Bertaiolli ,Vice-líder,PSD,SP,camara
PSD,204396,Vermelho ,Vice-líder,PSD,PR,camara
PSD,204557,Sidney Leite ,Vice-líder,PSD,AM,camara
PSD,74165,Neucimar Fraga,Vice-líder,PSD,ES,camara
PSD,116379,Darci de Matos ,Vice-líder,PSD,SC,camara
PSD,204392,Francisco Jr. ,Vice-líder,PSD,GO,camara
MDB,204436,Isnaldo Bulhões Jr. ,Líder,MDB,AL,camara
MDB,178884,Hildo Rocha ,Vice-líder,MDB,MA,camara
MDB,141405,Celso Maldaner ,Vice-líder,MDB,SC,camara
MDB,178994,Dulce Miranda ,Vice-líder,MDB,TO,camara
MDB,178981,Herculano Passos ,Vice-líder,MDB,SP,camara
MDB,178997,Moses Rodrigues ,Vice-líder,MDB,CE,camara
MDB,141552,Valtenir Pereira ,Vice-líder,MDB,MT,camara
"Bloco PROS, PSC, PTB",194260,Nivaldo Albuquerque ,Líder,PTB,AL,camara
"Bloco PROS, PSC, PTB",178881,Aluisio Mendes ,Vice-líder,PSC,MA,camara
"Bloco PROS, PSC, PTB",193726,Paulo Eduardo Martins ,Vice-líder,PSC,PR,camara
"Bloco PROS, PSC, PTB",204441,Otoni de Paula ,Vice-líder,PSC,RJ,camara
"Bloco PROS, PSC, PTB",178934,Toninho Wandscheer ,Vice-líder,PROS,PR,camara
"Bloco PROS, PSC, PTB",204538,Paulo Bengtson ,Vice-líder,PTB,PA,camara
"Bloco PROS, PSC, PTB",195866,Vaidon Oliveira ,Vice-líder,PROS,CE,camara
"Bloco PROS, PSC, PTB",204419,Glaustin da Fokus,Vice-líder,PSC,GO,camara
"Bloco PROS, PSC, PTB",204487,Capitão Wagner ,Vice-líder,PROS,CE,camara
PSDB,141531,Rodrigo de Castro ,Líder,PSDB,MG,camara
PSDB,178977,Eduardo Cury ,Vice-líder,PSDB,SP,camara
PSDB,160758,Domingos Sávio ,Vice-líder,PSDB,MG,camara
PSDB,178966,Geovania de Sá ,Vice-líder,PSDB,SC,camara
PSDB,141516,Paulo Abi-Ackel,Vice-líder,PSDB,MG,camara
PSDB,62881,Danilo Forte,Vice-líder,PSDB,CE,camara
PSDB,178844,Pedro Vilela,Vice-líder,PSDB,AL,camara
PSDB,204560,Adolfo Viana ,Vice-líder,PSDB,BA,camara
PSDB,178992,Vitor Lippi ,Vice-líder,PSDB,SP,camara
REPUBLICANOS,160674,Hugo Motta ,Líder,REPUBLICANOS,PB,camara
REPUBLICANOS,141555,Vinicius Carvalho ,Vice-líder,REPUBLICANOS,SP,camara
REPUBLICANOS,204372,Julio Cesar Ribeiro ,Vice-líder,REPUBLICANOS,DF,camara
REPUBLICANOS,98057,Lafayette de Andrada ,Vice-líder,REPUBLICANOS,MG,camara
REPUBLICANOS,204418,Luizão Goulart ,Vice-líder,REPUBLICANOS,PR,camara
REPUBLICANOS,204572,Capitão Alberto Neto ,Vice-líder,REPUBLICANOS,AM,camara
REPUBLICANOS,204414,Aroldo Martins ,Vice-líder,REPUBLICANOS,PR,camara
REPUBLICANOS,204353,Aline Gurgel ,Vice-líder,REPUBLICANOS,AP,camara
PSB,160528,Danilo Cabral ,Líder,PSB,PE,camara
PSB,204561,Bira do Pindaré ,Vice-líder,PSB,MA,camara
PSB,204389,Elias Vaz ,Vice-líder,PSB,GO,camara
PSB,178951,Rafael Motta ,Vice-líder,PSB,RN,camara
PSB,204525,Rosana Valle ,Vice-líder,PSB,SP,camara
PSB,178964,Heitor Schuch ,Vice-líder,PSB,RS,camara
PSB,92172,Milton Coelho,Vice-líder,PSB,PE,camara
PSB,204394,Gervásio Maia ,Vice-líder,PSB,PB,camara
PSB,213274,Ricardo Silva,Vice-líder,PSB,SP,camara
DEM,141422,Efraim Filho ,Líder,DEM,PB,camara
DEM,178836,Alan Rick ,Vice-líder,DEM,AC,camara
DEM,204527,Geninho Zuliani ,Vice-líder,DEM,SP,camara
DEM,178909,Hélio Leite ,Vice-líder,DEM,PA,camara
DEM,178886,Juscelino Filho ,Vice-líder,DEM,MA,camara
DEM,92102,Leur Lomanto Júnior ,Vice-líder,DEM,BA,camara
DEM,204381,Luis Miranda ,Vice-líder,DEM,DF,camara
DEM,204536,Kim Kataguiri ,Vice-líder,DEM,SP,camara
PDT,74439,Wolney Queiroz ,Líder,PDT,PE,camara
PDT,133968,Paulo Ramos ,Vice-líder,PDT,RJ,camara
PDT,73486,Pompeo de Mattos ,Vice-líder,PDT,RS,camara
PDT,68720,Fábio Henrique ,Vice-líder,PDT,SE,camara
PDT,133439,André Figueiredo ,Vice-líder,PDT,CE,camara
PDT,74158,Mário Heringer ,Vice-líder,PDT,MG,camara
PDT,177282,Subtenente Gonzaga ,Vice-líder,PDT,MG,camara
PDT,204533,Idilvan Alencar ,Vice-líder,PDT,CE,camara
SOLIDARIEDADE,178879,Lucas Vergilio ,Líder,SOLIDARIEDADE,GO,camara
SOLIDARIEDADE,204439,Dr. Leonardo ,Vice-líder,SOLIDARIEDADE,MT,camara
SOLIDARIEDADE,160632,Zé Silva ,Vice-líder,SOLIDARIEDADE,MG,camara
SOLIDARIEDADE,160665,Augusto Coutinho ,Vice-líder,SOLIDARIEDADE,PE,camara
SOLIDARIEDADE,143084,Tiago Dimas ,Vice-líder,SOLIDARIEDADE,TO,camara
PODE,204508,Igor Timo ,Líder,PODE,MG,camara
PODE,178929,Diego Garcia ,Vice-líder,PODE,PR,camara
PODE,204391,José Nelto ,Vice-líder,PODE,GO,camara
PODE,215043,Josivaldo JP,Vice-líder,PODE,MA,camara
PSOL,204464,Talíria Petrone ,Líder,PSOL,RJ,camara
PSOL,215044,Vivi Reis,Vice-líder,PSOL,PA,camara
PSOL,204407,Fernanda Melchionna ,Vice-líder,PSOL,RS,camara
PSOL,73531,Ivan Valente ,Vice-líder,PSOL,SP,camara
NOVO,204461,Paulo Ganime ,Líder,NOVO,RJ,camara
NOVO,204365,Gilson Marques ,Vice-líder,NOVO,SC,camara
NOVO,204516,Alexis Fonteyne ,Vice-líder,NOVO,SP,camara
AVANTE,178921,Sebastião Oliveira ,Líder,AVANTE,PE,camara
AVANTE,204375,Leda Sadala ,Vice-líder,AVANTE,AP,camara
AVANTE,204515,André Janones ,Vice-líder,AVANTE,MG,camara
PCdoB,73801,Renildo Calheiros ,Líder,PCdoB,PE,camara
PCdoB,74057,Alice Portugal ,Vice-líder,PCdoB,BA,camara
PCdoB,178987,Orlando Silva ,Vice-líder,PCdoB,SP,camara
PCdoB,74060,Daniel Almeida ,Vice-líder,PCdoB,BA,camara
CIDADANIA,178972,Alex Manente ,Líder,CIDADANIA,SP,camara
CIDADANIA,178916,Daniel Coelho ,Vice-líder,CIDADANIA,PE,camara
CIDADANIA,141391,Arnaldo Jardim ,Vice-líder,CIDADANIA,SP,camara
PATRIOTA,204494,Fred Costa ,Líder,PATRIOTA,MG,camara
PATRIOTA,204518,Dr. Frederico ,Vice-líder,PATRIOTA,MG,camara
PATRIOTA,178930,Roman ,Vice-líder,PATRIOTA,PR,camara
PATRIOTA,160642,Pastor Eurico ,Vice-líder,PATRIOTA,PE,camara
PV,204537,Enrico Misasi ,Líder,PV,SP,camara
PV,204383,Professor Israel Batista ,Vice-líder,PV,DF,camara
REDE,204468,Joenia Wapichana ,Representante,REDE,RR,camara
Governo,73788,Ricardo Barros ,Líder,PP,PR,camara
Governo,204472,José Medeiros ,Vice-líder,PODE,MT,camara
Governo,178871,Evair Vieira de Melo ,Vice-líder,PP,ES,camara
Governo,160673,Giovani Cherini ,Vice-líder,PL,RS,camara
Governo,178910,Joaquim Passarinho ,Vice-líder,PSD,PA,camara
Governo,198197,Greyce Elias ,Vice-líder,AVANTE,MG,camara
Governo,178954,Lucio Mosquini ,Vice-líder,MDB,RO,camara
Governo,204408,Gustinho Ribeiro ,Vice-líder,SOLIDARIEDADE,SE,camara
Governo,204566,Marreca Filho ,Vice-líder,PATRIOTA,MA,camara
Governo,204572,Capitão Alberto Neto ,Vice-líder,REPUBLICANOS,AM,camara
Governo,213762,Carla Dickson,Vice-líder,PROS,RN,camara
Governo,204416,Sanderson ,Vice-líder,PSL,RS,camara
Governo,204423,André Ferreira ,Vice-líder,PSC,PE,camara
Governo,133810,Marcelo Moraes ,Vice-líder,PTB,RS,camara
Governo,204386,Jose Mario Schreiner ,Vice-líder,DEM,GO,camara
Maioria,160588,Diego Andrade ,Líder,PSD,MG,camara
Maioria,93083,Cacá Leão ,Vice-líder,PP,BA,camara
Maioria,178879,Lucas Vergilio ,Vice-líder,SOLIDARIEDADE,GO,camara
Maioria,204444,Helio Lopes ,Vice-líder,PSL,RJ,camara
Maioria,116379,Darci de Matos ,Vice-líder,PSD,SC,camara
Maioria,204490,Charlles Evangelista ,Vice-líder,PSL,MG,camara
Maioria,74165,Neucimar Fraga,Vice-líder,PSD,ES,camara
Oposição,160511,Alessandro Molon ,Líder,PSB,RJ,camara
Oposição,178922,Tadeu Alencar ,Vice-líder,PSB,PE,camara
Oposição,204394,Gervásio Maia ,Vice-líder,PSB,PB,camara
Oposição,73943,Perpétua Almeida ,Vice-líder,PCdoB,AC,camara
Oposição,204407,Fernanda Melchionna ,Vice-líder,PSOL,RS,camara
Oposição,178857,Jorge Solla ,Vice-líder,PT,BA,camara
Oposição,74299,Leônidas Cristino ,Vice-líder,PDT,CE,camara
Oposição,141488,Paulo Teixeira ,Vice-líder,PT,SP,camara
Oposição,141439,Chico D'Angelo ,Vice-líder,PDT,RJ,camara
Oposição,73604,Rui Falcão ,Vice-líder,PT,SP,camara
Minoria,76874,Marcelo Freixo ,Líder,PSB,RJ,camara
Minoria,74848,Jandira Feghali ,Vice-líder,PCdoB,RJ,camara
Minoria,204501,Alencar Santana Braga ,Vice-líder,PT,SP,camara
Minoria,73482,Henrique Fontana ,Vice-líder,PT,RS,camara
Minoria,204352,Camilo Capiberibe ,Vice-líder,PSB,AP,camara
Minoria,73586,Júlio Delgado ,Vice-líder,PSB,MG,camara
Minoria,73531,Ivan Valente ,Vice-líder,PSOL,SP,camara
Minoria,141470,José Guimarães ,Vice-líder,PT,CE,camara
Minoria,157130,Túlio Gadêlha ,Vice-líder,PDT,PE,camara
Minoria,160575,Erika Kokay ,Vice-líder,PT,DF,camara
PSC,178881,Aluisio Mendes ,Líder,PSC,MA,camara
PROS,204487,Capitão Wagner ,Líder,PROS,CE,camara
PTB,194260,Nivaldo Albuquerque ,Líder,PTB,AL,camara
Bloco Parlamentar Unidos pelo Brasil,5557,Mailza Gomes,Líder do Senado Federal,PP,AC,senado
Bloco Parlamentar PODEMOS/PSDB/PSL,5533,Lasier Martins,Líder do Senado Federal,PODEMOS,RS,senado
Bloco Parlamentar PODEMOS/PSDB/PSL,5905,Rodrigo Cunha,Vice-líder do Senado Federal,PSDB,AL,senado
Bloco Parlamentar PODEMOS/PSDB/PSL,5988,Soraya Thronicke,Vice-líder do Senado Federal,PSL,MS,senado
Bloco Parlamentar PODEMOS/PSDB/PSL,345,Flávio Arns,Vice-líder do Senado Federal,PODEMOS,PR,senado
Bloco Parlamentar Vanguarda,1173,Wellington Fagundes,Líder do Senado Federal,PL,MT,senado
Bloco Parlamentar Vanguarda,5350,Jorginho Mello,Vice-líder do Senado Federal,PL,SC,senado
Bloco Parlamentar Vanguarda,3806,Zequinha Marinho,Vice-líder do Senado Federal,PSC,PA,senado
Bloco Parlamentar da Resistência Democrática,5783,Zenaide Maia,Líder do Senado Federal,PROS,RN,senado
PSD,5985,Nelsinho Trad,Líder do Senado Federal,PSD,MS,senado
PSD,5525,Omar Aziz,Vice-líder do Senado Federal,PSD,AM,senado
PSD,6295,Carlos Fávaro,Vice-líder do Senado Federal,PSD,MT,senado
PDT,5973,Cid Gomes,Líder do Senado Federal,PDT,CE,senado
CIDADANIA,5982,Alessandro Vieira,Líder do Senado Federal,CIDADANIA,SE,senado
REDE,5012,Randolfe Rodrigues,Líder do Senado Federal,REDE,AP,senado
PATRIOTA,5894,Flávio Bolsonaro,Líder do Senado Federal,PATRIOTA,RJ,senado
Maioria,70,Renan Calheiros,Líder do Senado Federal,MDB,AL,senado
Maioria,1249,Kátia Abreu,Vice-líder do Senado Federal,PP,TO,senado
Minoria,5627,Jean Paul Prates,Líder do Senado Federal,PT,RN,senado
Governo,5540,Fernando Bezerra Coelho,Líder do Senado Federal,MDB,PE,senado
Governo,3777,Eduardo Gomes,Vice-líder do Senado Federal,MDB,TO,senado
Governo,5531,Elmano Férrer,Vice-líder do Senado Federal,PP,PI,senado
Governo,5990,Carlos Viana,Vice-líder do Senado Federal,PSD,MG,senado
Governo,5350,Jorginho Mello,Vice-líder do Senado Federal,PL,SC,senado
Oposição,5012,Randolfe Rodrigues,Líder do Senado Federal,REDE,AP,senado
Bancada Feminina,5527,Simone Tebet,Líder do Senado Federal,MDB,MS,senado
MDB,4994,Eduardo Braga,Líder do Senado Federal,MDB,AM,senado
MDB,742,Marcelo Castro,Vice-líder do Senado Federal,MDB,PI,senado
PP,5998,Daniella Ribeiro,Líder do Senado Federal,PP,PB,senado
PP,5531,Elmano Férrer,Vice-líder do Senado Federal,PP,PI,senado
PP,1186,Luis Carlos Heinze,Vice-líder do Senado Federal,PP,RS,senado
REPUBLICANOS,6027,Mecias de Jesus,Líder do Senado Federal,REPUBLICANOS,RR,senado
PODEMOS,945,Alvaro Dias,Líder do Senado Federal,PODEMOS,PR,senado
PODEMOS,5924,Oriovisto Guimarães,Vice-líder do Senado Federal,PODEMOS,PR,senado
PODEMOS,5976,Eduardo Girão,Vice-líder do Senado Federal,PODEMOS,CE,senado
PODEMOS,5959,Styvenson Valentim,Vice-líder do Senado Federal,PODEMOS,RN,senado
PSDB,4770,Izalci Lucas,Líder do Senado Federal,PSDB,DF,senado
PSDB,5376,Mara Gabrilli,Vice-líder do Senado Federal,PSDB,SP,senado
PSDB,5905,Rodrigo Cunha,Vice-líder do Senado Federal,PSDB,AL,senado
PSL,5988,Soraya Thronicke,Vice-líder do Senado Federal,PSL,MS,senado
DEM,5422,Marcos Rogério,Líder do Senado Federal,DEM,RO,senado
PL,5936,Carlos Portinho,Líder do Senado Federal,PL,RJ,senado
PL,5350,Jorginho Mello,Vice-líder do Senado Federal,PL,SC,senado
PSC,3806,Zequinha Marinho,Líder do Senado Federal,PSC,PA,senado
PT,374,Paulo Rocha,Líder do Senado Federal,PT,PA,senado
PROS,5535,Telmário Mota,Líder do Senado Federal,PROS,RR,senado
PROS,5783,Zenaide Maia,Vice-líder do Senado Federal,PROS,RN,senado
