bloco_partido,id,nome,cargo,partido,uf,casa
PSL,179587,Vitor Hugo ,Líder,PSL,GO,camara
PSL,204545,Alê Silva ,Vice-líder,PSL,MG,camara
PSL,204388,Bibo Nunes ,Vice-líder,PSL,RS,camara
PSL,204460,Carlos Jordy ,Vice-líder,PSL,RJ,camara
PSL,204369,Caroline de Toni ,Vice-líder,PSL,SC,camara
PSL,204462,Chris Tonietto ,Vice-líder,PSL,RJ,camara
PSL,204378,Coronel Chrisóstomo ,Vice-líder,PSL,RO,camara
PSL,204514,Coronel Tadeu ,Vice-líder,PSL,SP,camara
PSL,92346,Eduardo Bolsonaro ,Vice-líder,PSL,SP,camara
PSL,204351,Dr. Luiz Ovando ,Vice-líder,PSL,MS,camara
PSL,204484,General Peternelli ,Vice-líder,PSL,SP,camara
PSL,204513,Guiga Peixoto ,Vice-líder,PSL,SP,camara
PSL,204455,Luiz Lima ,Vice-líder,PSL,RJ,camara
PSL,204376,Coronel Armando ,Vice-líder,PSL,SC,camara
PSL,204451,Delegado Antônio Furtado ,Vice-líder,PSL,RJ,camara
PT,160538,Bohn Gass ,Líder,PT,RS,camara
PT,73604,Rui Falcão ,Vice-líder,PT,SP,camara
PT,178825,LEO DE BRITO,Vice-líder,PT,AC,camara
PT,74400,Paulo Pimenta ,Vice-líder,PT,RS,camara
PT,204492,Paulo Guedes ,Vice-líder,PT,MG,camara
PT,74398,Maria do Rosário ,Vice-líder,PT,RS,camara
PT,107283,Gleisi Hoffmann ,Vice-líder,PT,PR,camara
PT,160575,Erika Kokay ,Vice-líder,PT,DF,camara
PT,204480,Rogério Correia ,Vice-líder,PT,MG,camara
PT,204453,Natália Bonavides ,Vice-líder,PT,RN,camara
PT,204559,Zé Neto ,Vice-líder,PT,BA,camara
PT,204467,Professora Rosa Neide ,Vice-líder,PT,MT,camara
PT,74161,Reginaldo Lopes ,Vice-líder,PT,MG,camara
PT,178873,Helder Salomão ,Vice-líder,PT,ES,camara
PT,178986,Nilto Tatto ,Vice-líder,PT,SP,camara
PL,74043,Wellington Roberto ,Líder,PL,PB,camara
PL,178829,Capitão Augusto ,Vice-líder,PL,SP,camara
PL,160673,Giovani Cherini ,Vice-líder,PL,RS,camara
PL,137070,Vicentinho Júnior ,Vice-líder,PL,TO,camara
PL,204517,Zé Vitor ,Vice-líder,PL,MG,camara
PL,178946,Soraya Santos ,Vice-líder,PL,RJ,camara
PL,74585,Lincoln Portela ,Vice-líder,PL,MG,camara
PL,74052,Bosco Costa ,Vice-líder,PL,SE,camara
PL,74554,José Rocha ,Vice-líder,PL,BA,camara
PP,93083,Cacá Leão ,Líder,PP,BA,camara
PP,204430,Margarete Coelho ,Vice-líder,PP,PI,camara
