proposicao,id_camara,id_senado,apelido,tema,prioridade,advocacy_link,keywords,tipo_agenda,explicacao_projeto,classificacao_ambientalismo,explicacao_ambientalismo
PDL 7/2019,2190884,,,"Agricultura, Pecuária, Pesca e Extrativismo",,,,,,Negativo,Negativo
PDL 8/2019,2190885,,,"Agricultura, Pecuária, Pesca e Extrativismo",,,,,,Negativo,Negativo
PL 364/2019,2190986,,,"Meio Ambiente e Desenvolvimento Sustentável;Agricultura, Pecuária, Pesca e Extrativismo",,,,,,Negativo,Negativo
PL 630/2019,2191668,,,"Agricultura, Pecuária, Pesca e Extrativismo",,,,,,Negativo,Negativo
PL 846/2019,2192259,,,Meio Ambiente e Desenvolvimento Sustentável,,,,,,Negativo,Negativo
PDL 36/2019,2192263,,,Meio Ambiente e Desenvolvimento Sustentável,,,,,,Negativo,Negativo
PL 915/2019,2192431,,,Meio Ambiente e Desenvolvimento Sustentável,,,,,,Negativo,Negativo
PL 984/2019,2192602,,,Meio Ambiente e Desenvolvimento Sustentável,,,,,,Negativo,Negativo
PL 1205/2019,2193334,,,Meio Ambiente e Desenvolvimento Sustentável,,,,,,Negativo,Negativo
PL 1425/2019,2193773,,,"Agricultura, Pecuária, Pesca e Extrativismo",,,,,,Negativo,Negativo
PL 1487/2019,2193953,,,Meio Ambiente e Desenvolvimento Sustentável,,,,,,Negativo,Negativo
PL 1709/2019,2195203,,,Meio Ambiente e Desenvolvimento Sustentável,,,,,,Negativo,Negativo
PL 1831/2019,2195806,,,"Agricultura, Pecuária, Pesca e Extrativismo",,,,,,Negativo,Negativo
PL 2001/2019,2196688,,,Meio Ambiente e Desenvolvimento Sustentável,,,,,,Negativo,Negativo
PL 2294/2019,2198163,,,"Meio Ambiente e Desenvolvimento Sustentável;Agricultura, Pecuária, Pesca e Extrativismo",,,,,,Negativo,Negativo
PL 2510/2019,2199215,,,Meio Ambiente e Desenvolvimento Sustentável,,,,,,Negativo,Negativo
PL 2785/2019,2201526,,,Meio Ambiente e Desenvolvimento Sustentável,,,,,,Positivo,Positivo
PLP 127/2019,2201537,,,Meio Ambiente e Desenvolvimento Sustentável,,,,,,Negativo,Negativo
PL 3045/2019,2204216,,,"Agricultura, Pecuária, Pesca e Extrativismo",,,,,,Negativo,Negativo
PL 3128/2019,2204946,,,"Meio Ambiente e Desenvolvimento Sustentável;Agricultura, Pecuária, Pesca e Extrativismo",,,,,,Negativo,Negativo
PLP 174/2019,2210674,,,"Agricultura, Pecuária, Pesca e Extrativismo",,,,,,Negativo,Negativo
PL 3895/2019,2210921,,,Meio Ambiente e Desenvolvimento Sustentável,,,,,,Negativo,Negativo
PL 3903/2019,2210976,,,Meio Ambiente e Desenvolvimento Sustentável,,,,,,Negativo,Negativo
PL 4245/2019,2213495,,,Meio Ambiente e Desenvolvimento Sustentável,,,,,,Negativo,Negativo
PL 4261/2019,2213686,,,Meio Ambiente e Desenvolvimento Sustentável,,,,,,Negativo,Negativo
PL 4347/2019,2214197,,,"Agricultura, Pecuária, Pesca e Extrativismo",,,,,,Negativo,Negativo
PL 4447/2019,2214933,,,"Agricultura, Pecuária, Pesca e Extrativismo",,,,,,Negativo,Negativo
PL 4472/2019,2215118,,,Meio Ambiente e Desenvolvimento Sustentável,,,,,,Negativo,Negativo
PL 4624/2019,2216603,,,"Agricultura, Pecuária, Pesca e Extrativismo",,,,,,Negativo,Negativo
PDL 597/2019,2218243,,,"Agricultura, Pecuária, Pesca e Extrativismo",,,,,,Negativo,Negativo
PDL 598/2019,2218244,,,"Agricultura, Pecuária, Pesca e Extrativismo",,,,,,Negativo,Negativo
PL 4823/2019,2218288,,,Meio Ambiente e Desenvolvimento Sustentável,,,,,,Negativo,Negativo
PL 5040/2019,2220086,,,"Agricultura, Pecuária, Pesca e Extrativismo",,,,,,Negativo,Negativo
PL 5150/2019,2220962,,,"Agricultura, Pecuária, Pesca e Extrativismo",,,,,,Negativo,Negativo
PL 5246/2019,2222006,,,Meio Ambiente e Desenvolvimento Sustentável,,,,,,Negativo,Negativo
PL 5321/2019,2222808,,,"Agricultura, Pecuária, Pesca e Extrativismo",,,,,,Negativo,Negativo
PL 5359/2019,2223702,,,"Agricultura, Pecuária, Pesca e Extrativismo",,,,,,Negativo,Negativo
PL 5724/2019,2227371,,,Meio Ambiente e Desenvolvimento Sustentável,,,,,,Negativo,Negativo
PL 5786/2019,2227753,,,Meio Ambiente e Desenvolvimento Sustentável,,,,,,Negativo,Negativo
PL 5822/2019,2228130,,,Meio Ambiente e Desenvolvimento Sustentável,,,,,,Negativo,Negativo
PL 6024/2019,2229754,,,Meio Ambiente e Desenvolvimento Sustentável,,,,,,Negativo,Negativo
PL 6085/2019,2230136,,,"Agricultura, Pecuária, Pesca e Extrativismo",,,,,,Negativo,Negativo
PDL 709/2019,2230568,,,"Agricultura, Pecuária, Pesca e Extrativismo",,,,,,Negativo,Negativo
PL 6148/2019,2230578,,,Meio Ambiente e Desenvolvimento Sustentável,,,,,,Negativo,Negativo
PL 6193/2019,2230904,,,"Agricultura, Pecuária, Pesca e Extrativismo",,,,,,Negativo,Negativo
PL 6388/2019,2233490,,,"Agricultura, Pecuária, Pesca e Extrativismo",,,,,,Negativo,Negativo
PL 6489/2019,2234475,,,"Meio Ambiente e Desenvolvimento Sustentável;Agricultura, Pecuária, Pesca e Extrativismo",,,,,,Negativo,Negativo
PL 59/2019,2190498,,,Meio Ambiente e Desenvolvimento Sustentável,,,,,,Neutro,Neutro
PL 148/2019,2190621,,,"Agricultura, Pecuária, Pesca e Extrativismo",,,,,,Neutro,Neutro
PL 358/2019,2190945,,,Meio Ambiente e Desenvolvimento Sustentável,,,,,,Neutro,Neutro
PLP 12/2019,2191350,,,"Agricultura, Pecuária, Pesca e Extrativismo",,,,,,Neutro,Neutro
PDL 21/2019,2191628,,,"Agricultura, Pecuária, Pesca e Extrativismo",,,,,,Neutro,Neutro
PL 930/2019,2192487,,,"Agricultura, Pecuária, Pesca e Extrativismo",,,,,,Neutro,Neutro
PL 1098/2019,2192985,,,Meio Ambiente e Desenvolvimento Sustentável,,,,,,Neutro,Neutro
PL 1191/2019,2193297,140286,,Meio Ambiente e Desenvolvimento Sustentável,,,,,,Neutro,Neutro
PDL 53/2019,2193502,,,Meio Ambiente e Desenvolvimento Sustentável,,,,,,Neutro,Neutro
