relacionada_ma,classificacao_ambientalismo,id,casa,proposicao,sigla_tipo,numero,ano,ementa,tema,autor,link
NA,Fora do tema,2190884,camara,PDL 7/2019,PDL,7,2019,"Susta o Decreto nº 9.642/2018, que ""Altera o Decreto nº 7.891, de 23 de janeiro de 2013, para dispor sobre a redução gradativa dos descontos concedidos em tarifa de uso do sistema de distribuição e tarifa de energia elétrica"".","Agricultura, Pecuária, Pesca e Extrativismo",Heitor Schuch,https://www.camara.leg.br/proposicoesWeb/fichadetramitacao?idProposicao=2190884
NA,NA,2190885,camara,PDL 8/2019,PDL,8,2019,"Susta o Decreto n° 9.642, de 27 de dezembro de 2018.","Agricultura, Pecuária, Pesca e Extrativismo",Marcon,https://www.camara.leg.br/proposicoesWeb/fichadetramitacao?idProposicao=2190885
NA,Negativo,2190986,camara,PL 364/2019,PL,364,2019,Dispõe sobre a utilização e proteção da vegetação nativa dos Campos de Altitude associados ou abrangidos pelo bioma Mata Atlântica.,"Meio Ambiente e Desenvolvimento Sustentável;Agricultura, Pecuária, Pesca e Extrativismo",Alceu Moreira,https://www.camara.leg.br/proposicoesWeb/fichadetramitacao?idProposicao=2190986
NA,Fora do tema,2191668,camara,PL 630/2019,PL,630,2019,"Autoriza o Poder Executivo a proceder na remissão dos débitos tributários, constituídos ou não, inscritos ou não em dívida ativa, ajuizados ou não, com exigibilidade suspensa ou não, das contribuições de que tratam os incisos I e II do artigo 25 da Lei n.º 8.212, de 1991, com redação dada pela Lei nº 10.256, de 2001, bem como a prevista originalmente no inciso I e II do artigo 25, da Lei nº 8.870, de 1994.","Agricultura, Pecuária, Pesca e Extrativismo",Jerônimo Goergen,https://www.camara.leg.br/proposicoesWeb/fichadetramitacao?idProposicao=2191668
NA,Negativo,2192259,camara,PL 846/2019,PL,846,2019,"Altera a Lei no 9.605, de 12 de fevereiro de 1998 - Lei de Crimes Ambientais, para exigir o laudo técnico dos danos ocasionados pela conduta emitido por órgão fiscalizador competente para configuração do tipo penal inscrito no art. 55.",Meio Ambiente e Desenvolvimento Sustentável,Nicoletti,https://www.camara.leg.br/proposicoesWeb/fichadetramitacao?idProposicao=2192259
NA,Negativo,2192263,camara,PDL 36/2019,PDL,36,2019,"Susta dispositivos do Decreto nº 6.514, de 22 de julho de 2008, que dispõe sobre as infrações e sanções administrativas ao meio ambiente, estabelece o processo administrativo federal para apuração destas infrações, e dá outras providências, e a Instrução Normativa IBAMA nº 3, de 23 de janeiro de 2018, que estabelece os procedimentos para a aplicação da medida cautelar de destruição ou inutilização de produtos, subprodutos ou instrumentos utilizados na prática da infração ambiental.",Meio Ambiente e Desenvolvimento Sustentável,José Medeiros,https://www.camara.leg.br/proposicoesWeb/fichadetramitacao?idProposicao=2192263
NA,Negativo,2192431,camara,PL 915/2019,PL,915,2019,"Dispõe sobre a neutralização de emissão de gases de efeito estufa de eventos realizados às margens de represas, lagos, rios e córregos, em todo o território nacional.",Meio Ambiente e Desenvolvimento Sustentável,Alexandre Leite,https://www.camara.leg.br/proposicoesWeb/fichadetramitacao?idProposicao=2192431
NA,Negativo,2192602,camara,PL 984/2019,PL,984,2019,"Altera a Lei nº 9.985, de 18 de julho de 2000, para criar a categoria de Unidade de Conservação denominada Estrada-Parque e institui a Estrada-Parque Caminho do Colono no Parque Nacional do Iguaçu.",Meio Ambiente e Desenvolvimento Sustentável,Vermelho,https://www.camara.leg.br/proposicoesWeb/fichadetramitacao?idProposicao=2192602
NA,Negativo,2193334,camara,PL 1205/2019,PL,1205,2019,"Dispõe sobre a zona de amortecimento das unidades de conservação; altera a Lei n° 9.985, de 18 de julho de 2000.",Meio Ambiente e Desenvolvimento Sustentável,Pinheirinho,https://www.camara.leg.br/proposicoesWeb/fichadetramitacao?idProposicao=2193334
NA,Fora do tema,2193773,camara,PL 1425/2019,PL,1425,2019,Estabelece isenção dos impostos sobre produtos industrializados e importação de produtos estrangeiros aos produtos agropecuários destinados aos pequenos produtores rurais.,"Agricultura, Pecuária, Pesca e Extrativismo",Nivaldo Albuquerque,https://www.camara.leg.br/proposicoesWeb/fichadetramitacao?idProposicao=2193773
NA,Positivo,2193953,camara,PL 1487/2019,PL,1487,2019,"Insere dispositivo na Lei 5.197, de 3 de janeiro de 1967, para  proibir a criação de pássaros em gaiola e viveiros.",Meio Ambiente e Desenvolvimento Sustentável,Nilto Tatto,https://www.camara.leg.br/proposicoesWeb/fichadetramitacao?idProposicao=2193953
