id_parlamentar_parlametria,peso_politico
1204459,0.0452301
1116379,0.144264
1205548,0.0811438
1204511,0.0859341
1204451,0.0129991
1204512,0.00836147
1204569,0.0387076
1204542,0.0521685
1204518,0.239356
1204481,0.096556
1204439,0.100689
1204450,0.302237
1204351,0
1204412,0.0497146
181297,0.113315
1204434,0.0944765
1204562,0.0879466
1204421,0.0574462
1204541,0
1204500,0.105208
1204364,0.160127
1204389,0.216063
1198783,0.321592
1204482,0.141738
168720,0.0966187
1204368,0.00506617
1204477,0
1204398,0.257307
1204371,0.0229542
1204407,0.142508
1204427,0
1204411,0.0179517
1204392,0.139267
1204510,0.0359033
1204494,0.541004
1204393,0.104397
174200,0.16886
1115746,0
1204473,0.0130404
1204484,0.0430441
1204527,0.14051
1204394,0.127819
1204575,0.0179517
1204491,0.0718067
1204365,0.0352188
1204419,0.0358817
1107283,0.120147
1198197,0.131261
1204513,0
1204531,0.0723981
1204442,0.0267289
173460,0.173786
1204408,0.166229
1204456,0.116873
1204465,0.00490418
1204548,0.0453766
1204373,0
1204444,0.0541572
1217036,0.143613
1204539,0.00156691
1204533,0
1204564,0.0179517
1204508,0.311162
1204436,0.376985
1108338,0.10192
1204435,0.0816104
1217480,0.143613
1204386,0.0783188
1204472,0.0753393
1204555,0.105342
1215043,0
1204474,0.053855
1204420,0.120282
1204372,0.0179517
1204520,0.0161707
1204497,0.102639
1204574,0.0915713
1204550,0
1204536,0
198057,0.0957422
1160534,0.0418872
1204375,0.0625612
1204359,0.113464
1204547,0.282916
192102,0.105762
1139285,0.412058
1204405,0.0644009
1204382,0
1204523,0.0607467
1204404,0.0944689
1204381,0
1204410,0.370466
1204448,0.0179517
1204485,0.0858623
1204455,0.0231504
1204526,0
1204418,0.053855
1204458,0.0946286
1204471,0.0465311
1156190,0.0907414
1205863,0
176874,0.341082
1133810,0.143474
1204558,0.132168
1204556,0.214518
1204452,0
1204522,0.211181
1204431,0.0196223
1204506,0.0718067
1204430,0.081597
1204540,0.0359033
1204428,0.478427
1204432,0
1204403,0.119723
1204566,0
175431,0.214141
1141508,0.13011
192172,0.100715
1204453,0.0518884
1204449,0.0978578
1204415,0
1146307,0.105032
174165,0.142183
1204479,0
1204498,0.0537096
1204363,0.0929975
1204422,0.0179517
1204441,0.0945351
1204475,0.046397
1204573,0.302721
1204570,0
1204553,0.165614
1204377,0.0350685
1204538,0.121992
1204461,0.346695
1204492,0.108047
1133968,0.153783
1216544,0.143613
190201,0.060822
1215045,0.1584
1217330,0.201505
1122974,0.119131
1204395,0.0904561
1204406,0.123272
173943,0.178557
1204524,0.0867549
1204529,0.0593099
1204390,0.0499623
1204383,0.119809
1204446,0.0207183
1204565,0.148845
1204467,0.0543141
1204567,0.053855
1141523,0.0974143
1205865,0.152563
173801,0.503987
1215042,0.0179517
1164360,0.192314
1178963,0.20898
174253,0.238014
1141478,0.21447
174254,0.225634
1178866,0.196014
1178943,0.141321
173463,0.212772
1141515,0.167711
1178912,0.313495
1178989,0.207533
173788,0.44374
1160655,0.114261
1178920,0.205227
1152610,0.0837744
1160653,0.167688
1141531,0.411837
1160651,0.145577
1178861,0.127501
1178945,0.477001
1178935,0.187886
173466,0.220508
174371,0.14002
1178887,0.245005
1178990,0.120337
1178921,0.359033
173808,0.132403
1178933,0.0804578
1178961,0.111042
174356,0.329114
1141552,0.194776
1191945,0.23468
1204499,0.136535
1204380,0.104002
1204370,0.0666403
1204488,0.136543
1204496,0.0179517
1204504,0.0979478
1205476,0.0964997
1204490,0.0296557
1204476,0.18158
1204462,0.0761769
1204440,0.118321
1204376,0.0274498
1204378,0
1204514,0.0179517
1204367,0.0359033
1204454,0.032251
1204409,0.0312789
1204362,0.0751107
1213274,0.0636651
1204489,0.053855
1204530,0.335597
1204366,0.0657659
1204480,0.111394
1204525,0.0689901
1204357,0.453644
173604,0.0964288
1160635,0.125579
1204535,0.103725
1204416,0
1204387,0.0315076
1204438,0.114259
1204437,0.053855
1204557,0.214467
1204360,0.0725354
1204425,0.0718067
1204534,0.0460535
1204464,0.409943
1206231,0.016231
1204466,0.091404
1143084,0.104466
1204519,0.051183
1197438,0.114374
1157130,0.0656808
1204385,0.0359033
1204505,0
1204396,0.0134595
1204483,0.061445
1204532,0
1179587,0.287227
1215044,0.0365296
174044,0.177941
1204559,0.127697
1204517,0.0119678
24981,0.0718067
25982,0
2945,0.0718067
25967,0.11126
25898,0.143613
26008,0.143613
2878,0.21942
25942,0
26019,0.143613
21023,0.0359033
26027,0.0897583
25985,0.0897583
25281,0
25525,0.0359033
25924,0
25523,0
2825,0.0834032
2374,0.0897583
25352,0.448834
1141411,0.172697
174467,0.17887
174060,0.253838
1178916,0.20316
1160528,0.418153
162881,0.0937547
1178908,0.071335
1164359,0.150657
1160588,0.396023
1178929,0.116158
1160599,0.167297
1143632,0.0963177
1160758,0.134018
1178994,0.0855669
1141417,0.40188
174655,0.133754
192346,0.32027
1178977,0.102494
1141421,0.123029
1141422,0.412654
174075,0.403611
1160532,0.380094
1178854,0.166738
1132504,0.108814
1160575,0.149252
1160640,0.165991
1178871,0.0618122
1178930,0
1178953,0.0633123
1178969,0.334596
1141427,0.133871
1171623,0.105509
1160587,0.0706175
166828,0.334253
172442,0.346238
1160666,0.3883
1141431,0.125009
192699,0.0884691
1160598,0.176706
1141434,0.15368
1191923,0.12434
1160669,0.154415
1178966,0.120841
174383,0.144765
174270,0.44233
1160673,0.161013
1178996,0.130012
1152605,0.19329
174419,0.16622
1160667,0.110298
1178964,0.146667
1178873,0.357514
1178909,0.151516
173482,0.141096
1178981,0.164258
173772,0.152264
1178884,0.0718257
1178959,0.106421
1141450,0.164162
1160674,0.32313
167138,0.100972
1135054,0.313357
1204355,0.131588
1141372,0.118661
1160508,0.0883465
1136811,0.141842
1178835,0.344789
1160527,0.122392
1178836,0.0678108
1160559,0.147964
1160511,0.459037
1178972,0.505936
1160545,0.115009
174057,0.527685
1178927,0.357163
1178937,0.146508
1178881,0.305178
1178831,0.0732698
174471,0.282276
1133439,0.155509
1178882,0.174508
174212,0.139253
1160553,0.623082
173433,0.150283
1141391,0.236709
1160541,1
1160600,0.160921
174090,0.392552
174459,0.0897583
1160665,0.189588
1160512,0.435608
169871,0.416989
1178975,0.160522
173701,0.365517
1141335,0.114998
1178948,0.0710237
1141513,0.171604
1160538,0.428322
174052,0.129949
1160589,0.128174
193083,0.38798
1178829,0.340555
1178924,0.0753981
1178962,0.101726
1178993,0.158961
174262,0.0897583
1141398,0.132332
1178876,0.146727
1141405,0.127626
173441,0.329114
1141439,0.152795
1178928,0.0981872
1178939,0.195755
174537,0.171302
1141408,0.0897583
1161550,0.080536
1204537,0.334524
1141459,0.345999
1204468,0.406333
1204546,0.079937
1205550,0.101726
1204391,0.168361
1209189,0.109745
1204563,0.115095
173531,0.194429
174848,0.277872
174273,0.159908
1160570,0.129875
1178839,0.0692967
