id_parlamentar_parlametria,peso_politico
1160518,0.228474
174043,0.418083
174439,0.474066
1178889,0.0829865
1160632,0.150915
1160592,0.126746
1204554,0
1204521,0.0694338
1204379,0.13251
1204560,0.100051
1204528,0.0191838
1121948,0.0697633
174646,0.420478
1204495,0.0838826
1204549,0.063244
1204413,0.0179517
1204545,0.0239356
1204501,0.1176
1204571,0
1204544,0
1204503,0.0784767
1204516,0.0191838
1204353,0.0299194
1204400,0.293211
1204356,0.0179517
1204423,0.153996
1204515,0.0686473
173696,0.152376
1204414,0
1204509,0.0414892
1109429,0.053855
1204358,0.107561
1207176,0.0280765
1204374,0.239356
1204388,0.0239356
1204561,0.0967809
1204551,0.345858
1204502,0.0179517
1204352,0.108069
1204572,0
1204487,0.660375
1213762,0.100561
1204507,0.275532
1204361,0.305596
1204460,0.0303645
1204426,0.275816
1204369,0.0154821
