id_leggo,id_principal,casa,id_autor.x,id_autor.y,peso_arestas,num_coautorias,nome.x,partido.x,uf.x,casa_autor.x,bancada.x,nome.y,partido.y,uf.y,casa_autor.y,bancada.y
0095d6a35cbf93726c364328e1ab42e5,2250615,camara,74158,74158,1,1,Dep. Mário Heringer,PDT,MG,camara,oposição,Dep. Mário Heringer,PDT,MG,camara,oposição
00d8d1830279eecbe7cfb788b55cf884,2200109,camara,133968,133968,1,1,Dep. Paulo Ramos,PDT,RJ,camara,oposição,Dep. Paulo Ramos,PDT,RJ,camara,oposição
00d8d1830279eecbe7cfb788b55cf884,2200109,camara,204448,204448,1,1,Dep. Luiz Antônio Corrêa,S.PART.,RJ,camara,governo,Dep. Luiz Antônio Corrêa,S.PART.,RJ,camara,governo
010f108d87169e77e6d08336510fdcac,2195050,camara,178986,178986,1,1,Dep. Nilto Tatto,PT,SP,camara,oposição,Dep. Nilto Tatto,PT,SP,camara,oposição
012e75f023ca113fee1251c10c706f8c,2219666,camara,204488,204488,1,1,Dep. Célio Studart,PV,CE,camara,governo,Dep. Célio Studart,PV,CE,camara,governo
012e75f023ca113fee1251c10c706f8c,2219666,camara,204494,204494,1,1,Dep. Fred Costa,PATRIOTA,MG,camara,governo,Dep. Fred Costa,PATRIOTA,MG,camara,governo
01ba8d31d5ea4a3e0eb642761b6e9d80,2208657,camara,204488,204488,1,1,Dep. Célio Studart,PV,CE,camara,governo,Dep. Célio Studart,PV,CE,camara,governo
01c04d6284a833b4f7e9842c9a9c5b8c,2209593,camara,204488,204488,1,1,Dep. Célio Studart,PV,CE,camara,governo,Dep. Célio Studart,PV,CE,camara,governo
01c3291306586541b3164eaede8d2af1,2259684,camara,160535,160610,0.125,1,Dep. Marcon,PT,RS,camara,oposição,Dep. Valmir Assunção,PT,BA,camara,oposição
01c3291306586541b3164eaede8d2af1,2259684,camara,160535,178970,0.125,1,Dep. Marcon,PT,RS,camara,oposição,Dep. João Daniel,PT,SE,camara,oposição
01c3291306586541b3164eaede8d2af1,2259684,camara,160535,178986,0.125,1,Dep. Marcon,PT,RS,camara,oposição,Dep. Nilto Tatto,PT,SP,camara,oposição
01c3291306586541b3164eaede8d2af1,2259684,camara,160535,204370,0.125,1,Dep. Marcon,PT,RS,camara,oposição,Dep. Célio Moura,PT,TO,camara,oposição
01c3291306586541b3164eaede8d2af1,2259684,camara,160535,204393,0.125,1,Dep. Marcon,PT,RS,camara,oposição,Dep. Frei Anastacio Ribeiro,PT,PB,camara,oposição
01c3291306586541b3164eaede8d2af1,2259684,camara,160535,204495,0.125,1,Dep. Marcon,PT,RS,camara,oposição,Dep. Airton Faleiro,PT,PA,camara,oposição
01c3291306586541b3164eaede8d2af1,2259684,camara,160610,178970,0.125,1,Dep. Valmir Assunção,PT,BA,camara,oposição,Dep. João Daniel,PT,SE,camara,oposição
01c3291306586541b3164eaede8d2af1,2259684,camara,160610,178986,0.125,1,Dep. Valmir Assunção,PT,BA,camara,oposição,Dep. Nilto Tatto,PT,SP,camara,oposição
01c3291306586541b3164eaede8d2af1,2259684,camara,160610,204370,0.125,1,Dep. Valmir Assunção,PT,BA,camara,oposição,Dep. Célio Moura,PT,TO,camara,oposição
01c3291306586541b3164eaede8d2af1,2259684,camara,160610,204393,0.125,1,Dep. Valmir Assunção,PT,BA,camara,oposição,Dep. Frei Anastacio Ribeiro,PT,PB,camara,oposição
01c3291306586541b3164eaede8d2af1,2259684,camara,160610,204495,0.125,1,Dep. Valmir Assunção,PT,BA,camara,oposição,Dep. Airton Faleiro,PT,PA,camara,oposição
01c3291306586541b3164eaede8d2af1,2259684,camara,178970,178986,0.125,1,Dep. João Daniel,PT,SE,camara,oposição,Dep. Nilto Tatto,PT,SP,camara,oposição
01c3291306586541b3164eaede8d2af1,2259684,camara,178970,204370,0.125,1,Dep. João Daniel,PT,SE,camara,oposição,Dep. Célio Moura,PT,TO,camara,oposição
01c3291306586541b3164eaede8d2af1,2259684,camara,178970,204393,0.125,1,Dep. João Daniel,PT,SE,camara,oposição,Dep. Frei Anastacio Ribeiro,PT,PB,camara,oposição
01c3291306586541b3164eaede8d2af1,2259684,camara,178970,204495,0.125,1,Dep. João Daniel,PT,SE,camara,oposição,Dep. Airton Faleiro,PT,PA,camara,oposição
01c3291306586541b3164eaede8d2af1,2259684,camara,178986,204370,0.125,1,Dep. Nilto Tatto,PT,SP,camara,oposição,Dep. Célio Moura,PT,TO,camara,oposição
01c3291306586541b3164eaede8d2af1,2259684,camara,178986,204393,0.125,1,Dep. Nilto Tatto,PT,SP,camara,oposição,Dep. Frei Anastacio Ribeiro,PT,PB,camara,oposição
01c3291306586541b3164eaede8d2af1,2259684,camara,178986,204495,0.125,1,Dep. Nilto Tatto,PT,SP,camara,oposição,Dep. Airton Faleiro,PT,PA,camara,oposição
01c3291306586541b3164eaede8d2af1,2259684,camara,204370,204393,0.125,1,Dep. Célio Moura,PT,TO,camara,oposição,Dep. Frei Anastacio Ribeiro,PT,PB,camara,oposição
01c3291306586541b3164eaede8d2af1,2259684,camara,204370,204495,0.125,1,Dep. Célio Moura,PT,TO,camara,oposição,Dep. Airton Faleiro,PT,PA,camara,oposição
01c3291306586541b3164eaede8d2af1,2259684,camara,204393,204495,0.125,1,Dep. Frei Anastacio Ribeiro,PT,PB,camara,oposição,Dep. Airton Faleiro,PT,PA,camara,oposição
01c3291306586541b3164eaede8d2af1,2259684,camara,74160,160535,0.125,1,Dep. Patrus Ananias,PT,MG,camara,oposição,Dep. Marcon,PT,RS,camara,oposição
01c3291306586541b3164eaede8d2af1,2259684,camara,74160,160610,0.125,1,Dep. Patrus Ananias,PT,MG,camara,oposição,Dep. Valmir Assunção,PT,BA,camara,oposição
