Id,Label
0,AVANTE
1,PSOL
2,PATRIOTA
3,REPUBLICANOS
4,MDB
5,PODEMOS
6,PSL
7,PT
8,SOLIDARIEDADE
9,PSB
10,PSDB
11,NOVO
12,PP
13,PROS
14,PV
15,PDT
16,DEM
17,CIDADANIA
18,PSD
19,PCdoB
20,REDE
21,PL
