orientacao_ma,nome_proposicao,ementa_proposicao,obj_votacao,resumo,data,autor,tema,uri_tramitacao,id_proposicao,id_votacao,casa,id_parlamentar,voto,id_entidade_parlametria,nome,sexo,partido,uf,governismo,peso_politico
SIM,PL 1543/2020,Autoriza a prorrogação de dívidas rurais em decorrência da pandemia do coronavírus (Covid-19).,"Votação do Projeto de Lei nº 1.543, de 2020 e Emendas, nos termos do parecer.",https://www25.senado.leg.br:443/web/atividade/materias/-/materia/141437/votacoes#votacao_6121,2020-05-26T00:00:00Z,Mecias de Jesus REPUBLICANOS / RR,"Agricultura, pecuária e abastecimento",https://www25.senado.leg.br/web/atividade/materias/-/materia/141437,141437,6121,senado,475,Sim,2475,Confúcio Moura,M,MDB,RO,2.0073598241460964,0.103188
SIM,PL 1543/2020,Autoriza a prorrogação de dívidas rurais em decorrência da pandemia do coronavírus (Covid-19).,"Votação do Projeto de Lei nº 1.543, de 2020 e Emendas, nos termos do parecer.",https://www25.senado.leg.br:443/web/atividade/materias/-/materia/141437/votacoes#votacao_6121,2020-05-26T00:00:00Z,Mecias de Jesus REPUBLICANOS / RR,"Agricultura, pecuária e abastecimento",https://www25.senado.leg.br/web/atividade/materias/-/materia/141437,141437,6121,senado,5998,Sim,25998,Daniella Ribeiro,F,PP,PB,2.61900784377894,0.289214
SIM,PL 1543/2020,Autoriza a prorrogação de dívidas rurais em decorrência da pandemia do coronavírus (Covid-19).,"Votação do Projeto de Lei nº 1.543, de 2020 e Emendas, nos termos do parecer.",https://www25.senado.leg.br:443/web/atividade/materias/-/materia/141437/votacoes#votacao_6121,2020-05-26T00:00:00Z,Mecias de Jesus REPUBLICANOS / RR,"Agricultura, pecuária e abastecimento",https://www25.senado.leg.br/web/atividade/materias/-/materia/141437,141437,6121,senado,5537,Sim,25537,Dário Berger,M,MDB,SC,-1.9873002252207854,0.264974
SIM,PL 1543/2020,Autoriza a prorrogação de dívidas rurais em decorrência da pandemia do coronavírus (Covid-19).,"Votação do Projeto de Lei nº 1.543, de 2020 e Emendas, nos termos do parecer.",https://www25.senado.leg.br:443/web/atividade/materias/-/materia/141437/votacoes#votacao_6121,2020-05-26T00:00:00Z,Mecias de Jesus REPUBLICANOS / RR,"Agricultura, pecuária e abastecimento",https://www25.senado.leg.br/web/atividade/materias/-/materia/141437,141437,6121,senado,3830,P-NRV,23830,Davi Alcolumbre,M,DEM,AP,-1.4227157360568707,0.06973
SIM,PL 1543/2020,Autoriza a prorrogação de dívidas rurais em decorrência da pandemia do coronavírus (Covid-19).,"Votação do Projeto de Lei nº 1.543, de 2020 e Emendas, nos termos do parecer.",https://www25.senado.leg.br:443/web/atividade/materias/-/materia/141437/votacoes#votacao_6121,2020-05-26T00:00:00Z,Mecias de Jesus REPUBLICANOS / RR,"Agricultura, pecuária e abastecimento",https://www25.senado.leg.br/web/atividade/materias/-/materia/141437,141437,6121,senado,4994,Sim,24994,Eduardo Braga,M,MDB,AM,-0.08168928700753852,0.536264
SIM,PL 1543/2020,Autoriza a prorrogação de dívidas rurais em decorrência da pandemia do coronavírus (Covid-19).,"Votação do Projeto de Lei nº 1.543, de 2020 e Emendas, nos termos do parecer.",https://www25.senado.leg.br:443/web/atividade/materias/-/materia/141437/votacoes#votacao_6121,2020-05-26T00:00:00Z,Mecias de Jesus REPUBLICANOS / RR,"Agricultura, pecuária e abastecimento",https://www25.senado.leg.br/web/atividade/materias/-/materia/141437,141437,6121,senado,5976,Sim,25976,Eduardo Girão,M,PODEMOS,CE,-1.6168473989705063,0
SIM,PL 1543/2020,Autoriza a prorrogação de dívidas rurais em decorrência da pandemia do coronavírus (Covid-19).,"Votação do Projeto de Lei nº 1.543, de 2020 e Emendas, nos termos do parecer.",https://www25.senado.leg.br:443/web/atividade/materias/-/materia/141437/votacoes#votacao_6121,2020-05-26T00:00:00Z,Mecias de Jesus REPUBLICANOS / RR,"Agricultura, pecuária e abastecimento",https://www25.senado.leg.br/web/atividade/materias/-/materia/141437,141437,6121,senado,3777,Sim,23777,Eduardo Gomes,M,MDB,TO,5.982366220097401,0.111568
SIM,PL 1543/2020,Autoriza a prorrogação de dívidas rurais em decorrência da pandemia do coronavírus (Covid-19).,"Votação do Projeto de Lei nº 1.543, de 2020 e Emendas, nos termos do parecer.",https://www25.senado.leg.br:443/web/atividade/materias/-/materia/141437/votacoes#votacao_6121,2020-05-26T00:00:00Z,Mecias de Jesus REPUBLICANOS / RR,"Agricultura, pecuária e abastecimento",https://www25.senado.leg.br/web/atividade/materias/-/materia/141437,141437,6121,senado,5718,Sim,25718,Eliziane Gama,F,CIDADANIA,MA,-3.9228169265204222,0.305468
SIM,PL 1543/2020,Autoriza a prorrogação de dívidas rurais em decorrência da pandemia do coronavírus (Covid-19).,"Votação do Projeto de Lei nº 1.543, de 2020 e Emendas, nos termos do parecer.",https://www25.senado.leg.br:443/web/atividade/materias/-/materia/141437/votacoes#votacao_6121,2020-05-26T00:00:00Z,Mecias de Jesus REPUBLICANOS / RR,"Agricultura, pecuária e abastecimento",https://www25.senado.leg.br/web/atividade/materias/-/materia/141437,141437,6121,senado,5531,Sim,25531,Elmano Férrer,M,PP,PI,5.569303275652333,0.300835
SIM,PL 1543/2020,Autoriza a prorrogação de dívidas rurais em decorrência da pandemia do coronavírus (Covid-19).,"Votação do Projeto de Lei nº 1.543, de 2020 e Emendas, nos termos do parecer.",https://www25.senado.leg.br:443/web/atividade/materias/-/materia/141437/votacoes#votacao_6121,2020-05-26T00:00:00Z,Mecias de Jesus REPUBLICANOS / RR,"Agricultura, pecuária e abastecimento",https://www25.senado.leg.br/web/atividade/materias/-/materia/141437,141437,6121,senado,22,Sim,222,Esperidião Amin,M,PP,SC,-1.5150059373054052,0.317316
