id_leggo,id_principal,casa,id_documento,sigla,descricao_tipo_documento,data,id_autor_parlametria,partido,uf,nome_eleitoral,casa_autor,tipo_documento,tipo_acao,peso_autor_documento,governismo,governismo_ma,peso_politico
6d2bbca6eb76e7411882054a60839644,2190446,camara,2199370,PL 2533/2019,Projeto de Lei,2019-04-25T00:00:00Z,1204457,DEM,RJ,Dep. Juninho Do Pneu (DEM/RJ),camara,Prop. Original / Apensada,Proposição,1,4.494224388470805,6.710401299653288,0.027892
6d2bbca6eb76e7411882054a60839644,2190446,camara,2203574,PL 2924/2019,Projeto de Lei,2019-05-15T00:00:00Z,1204494,PATRIOTA,MG,Dep. Fred Costa (PATRIOTA/MG),camara,Prop. Original / Apensada,Proposição,1,3.729660848433358,-1.6084282254769455,0.420287
6d2bbca6eb76e7411882054a60839644,2190446,camara,2204560,PL 3108/2019,Projeto de Lei,2019-05-23T00:00:00Z,1204488,PV,CE,Dep. Célio Studart (PV/CE),camara,Prop. Original / Apensada,Proposição,1,-0.43727079680068215,-3.7025323831707446,0.106076
6d2bbca6eb76e7411882054a60839644,2190446,camara,2209318,PPP 1/0,Parecer Proferido em Plenário,2019-06-25T00:00:00Z,1160556,PT,MG,Dep. Padre João (PT/MG),camara,Parecer,Outros,1,-5.993871778935102,-7.980371683740026,0.16604
6d2bbca6eb76e7411882054a60839644,2190446,camara,2209319,PPP 1/0,Parecer Proferido em Plenário,2019-06-25T00:00:00Z,1160556,PT,MG,Dep. Padre João (PT/MG),camara,Parecer,Outros,1,-5.993871778935102,-7.980371683740026,0.16604
6d2bbca6eb76e7411882054a60839644,2190446,camara,2209320,PPP 1/0,Parecer Proferido em Plenário,2019-06-25T00:00:00Z,1160556,PT,MG,Dep. Padre João (PT/MG),camara,Parecer,Outros,1,-5.993871778935102,-7.980371683740026,0.16604
6d2bbca6eb76e7411882054a60839644,2190446,camara,2209332,PEP 1/0,Parecer às Emendas de Plenário,2019-06-25T00:00:00Z,1160556,PT,MG,Dep. Padre João (PT/MG),camara,Parecer,Outros,1,-5.993871778935102,-7.980371683740026,0.16604
6d2bbca6eb76e7411882054a60839644,2190446,camara,2209333,PEP 1/0,Parecer às Emendas de Plenário,2019-06-25T00:00:00Z,1160556,PT,MG,Dep. Padre João (PT/MG),camara,Parecer,Outros,1,-5.993871778935102,-7.980371683740026,0.16604
6d2bbca6eb76e7411882054a60839644,2190446,camara,2209334,PEP 1/0,Parecer às Emendas de Plenário,2019-06-25T00:00:00Z,1160556,PT,MG,Dep. Padre João (PT/MG),camara,Parecer,Outros,1,-5.993871778935102,-7.980371683740026,0.16604
6d2bbca6eb76e7411882054a60839644,2190446,camara,2209335,PEP 1/0,Parecer às Emendas de Plenário,2019-06-25T00:00:00Z,1160556,PT,MG,Dep. Padre João (PT/MG),camara,Parecer,Outros,1,-5.993871778935102,-7.980371683740026,0.16604
6d2bbca6eb76e7411882054a60839644,2190446,camara,2209336,EMP 1/2019,Emenda de Plenário,2019-06-25T00:00:00Z,1204519,NOVO,MG,Dep. Tiago Mitraud (NOVO/MG),camara,Emenda,Proposição,1,6.107236485161341,5.715344269069831,0.0397623
6d2bbca6eb76e7411882054a60839644,2190446,camara,2209342,PPP 1/0,Parecer Proferido em Plenário,2019-06-25T00:00:00Z,1160556,PT,MG,Dep. Padre João (PT/MG),camara,Parecer,Outros,1,-5.993871778935102,-7.980371683740026,0.16604
f1c128dc7e1fb596655c91de8673ed19,2190474,camara,2190474,PL 41/2019,Projeto de Lei,2019-02-04T00:00:00Z,1204494,PATRIOTA,MG,Dep. Fred Costa (PATRIOTA/MG),camara,Prop. Original / Apensada,Proposição,1,3.729660848433358,-1.6084282254769455,0.420287
