id_entidade,id_entidade_parlametria,casa,nome,sexo,partido,uf,governismo,governismo_ma,peso_politico,assinadas,autorias_ponderadas,positivas,negativas,neutras
204551,1204551,camara,Bosco Saraiva,M,SOLIDARIEDADE,AM,3.8290914915937684,1.9722990518795669,0.381242,1,0.1111111111111111,1,0,0
204552,1204552,camara,Eduardo Braide,M,PODE,MA,-0.05983300489255683,-3.8825834893775415,0.312882,0,0,NA,NA,NA
204553,1204553,camara,Pastor Sargento Isidório,M,AVANTE,BA,-0.05299817897012815,-2.5611028574697876,0.160362,1,1,1,0,0
204554,1204554,camara,Abílio Santana,M,PL,BA,5.196967639177403,1.7991421823774072,0,0,0,NA,NA,NA
204555,1204555,camara,José Ricardo,M,PT,AM,-5.721957838073906,-8.073018748871835,0.102001,5,1.603713527851459,4,0,1
204556,1204556,camara,Marcelo Ramos,M,PL,AM,5.995132963168368,5.278630981014771,0.0885212,0,0,NA,NA,NA
204557,1204557,camara,Sidney Leite,M,PSD,AM,3.4781230591509313,4.309662308707768,0.140453,1,0.1111111111111111,1,0,0
204558,1204558,camara,Marcelo Nilo,M,PSB,BA,-2.59500392049684,-5.126990629922366,0.127976,2,0.10263157894736842,2,0,0
204559,1204559,camara,Zé Neto,M,PT,BA,-4.056365290876801,-7.850310881620362,0.123647,1,0.019230769230769232,1,0,0
204560,1204560,camara,Adolfo Viana,M,PSDB,BA,3.935508257428868,4.774360576715711,0.0968779,0,0,NA,NA,NA
204561,1204561,camara,Bira Do Pindaré,M,PSB,MA,-3.238488640226164,-3.98634502900903,0.0937114,8,2.4315587820125026,8,0,0
204562,1204562,camara,Edilázio Júnior,M,PSD,MA,5.4050544945300345,0.6773369818567421,0.0851573,0,0,NA,NA,NA
204563,1204563,camara,Josimar Maranhãozinho,M,PL,MA,5.704010222452764,3.5265201712751555,0.111444,1,1,1,0,0
204564,1204564,camara,Igor Kannário,M,DEM,BA,2.5557190587599106,1.881495070502746,0.295499,2,2,1,1,0
204565,1204565,camara,Professora Dayane Pimentel,F,PSL,BA,4.625619595428512,7.89025200517646,0.144124,0,0,NA,NA,NA
204566,1204566,camara,Marreca Filho,M,PATRIOTA,MA,3.736399708191179,1.0394048195821277,0,5,5,4,0,1
204567,1204567,camara,Raimundo Costa,M,PL,BA,5.071814508612096,5.576894529384544,0.0521469,1,1,1,0,0
204569,1204569,camara,Delegado Pablo,M,PSL,AM,4.7567536603676785,3.62029149919341,0.0143035,0,0,NA,NA,NA
204570,1204570,camara,Pastor Gil,M,PL,MA,5.045944301651616,5.297122901650567,0,2,2,2,0,0
204571,1204571,camara,Alex Santana,M,PDT,BA,1.4002722621692758,-1.178082126473317,0,0,0,NA,NA,NA
