nome,id_entidade,partido,uf,casa,sigla_tipo,proposicao,efeito,autores,governismo,governismo_ma,assinadas,autorias_ponderadas,coautores
Paulo Ramos,133968,PDT,RJ,camara,PL,PL 3102/2019,Convergente,1,-1.735511275372584,-3.6104814386665005,1,1,0
Célio Studart,204488,PV,CE,camara,PL,PL 3279/2019,Neutro,1,-1.1376416668423701,-3.7025323831707446,1,1,0
Helder Salomão,178873,PT,ES,camara,PL,PL 3326/2019,Convergente,1,-6.84870596131532,-7.8348361543111595,1,1,0
Rodrigo Agostinho,204530,PSB,SP,camara,PL,PL 3336/2019,Convergente,1,-1.104189577398282,-3.72831522733207,1,1,0
Expedito Netto,178953,PSD,RO,camara,PL,PL 4468/2019,Neutro,1,2.0027062491866694,0.3897600816548952,1,1,0
Célio Studart,204488,PV,CE,camara,PL,PL 5129/2019,Neutro,1,-1.1376416668423701,-3.7025323831707446,1,1,0
Benes Leocádio,109429,REPUBLICANOS,RN,camara,PDL,PDL 636/2019,Divergente,1,4.2193583196236695,4.3929255125791435,1,1,0
João Daniel,178970,PT,SE,camara,PL,PL 5202/2019,Neutro,1,-4.936720480677984,-8.023851506430141,1,1,0
Rafael Motta,178951,PSB,RN,camara,PL,PL 6077/2019,Neutro,1,-1.6632441091843102,-4.539019354220075,1,1,0
Jerônimo Goergen,160570,PP,RS,camara,PL,PL 6096/2019,Divergente,1,4.483496219282772,7.576276828973306,1,1,0
Marreca Filho,204566,PATRIOTA,MA,camara,PL,PL 3555/2020,Neutro,1,3.736399708191179,1.0394048195821277,1,1,0
Áurea Carolina,204509,PSOL,MG,camara,PL,PL 2787/2019,Convergente,12,-8.644086273652816,-4.15887260849675,1,0.08333333333333333,11
Dr. Frederico,204518,PATRIOTA,MG,camara,PL,PL 2787/2019,Convergente,12,4.554312115174049,3.3882271152884424,1,0.08333333333333333,11
Gilberto Abramo,204491,REPUBLICANOS,MG,camara,PL,PL 2787/2019,Convergente,12,4.541649100047543,4.883978874676922,1,0.08333333333333333,11
Greyce Elias,198197,AVANTE,MG,camara,PL,PL 2787/2019,Convergente,12,4.354932281073527,5.563817202465968,1,0.08333333333333333,11
Hercílio Coelho Diniz,204539,MDB,MG,camara,PL,PL 2787/2019,Convergente,12,3.778976984215136,3.879461956912575,1,0.08333333333333333,11
Igor Timo,204508,PODE,MG,camara,PL,PL 2787/2019,Convergente,12,2.9170304425732,0.5622812910384312,1,0.08333333333333333,11
Júlio Delgado,73586,PSB,MG,camara,PL,PL 2787/2019,Convergente,12,-1.3837604744073673,-4.746031922367379,1,0.08333333333333333,11
Leonardo Monteiro,74156,PT,MG,camara,PL,PL 2787/2019,Convergente,12,-3.9658343085420036,-7.4418261883537085,1,0.08333333333333333,11
Lucas Gonzalez,204523,NOVO,MG,camara,PL,PL 2787/2019,Convergente,12,6.231598643720137,6.292190013448483,1,0.08333333333333333,11
Padre João,160556,PT,MG,camara,PL,PL 2787/2019,Convergente,12,-7.53477432424644,-7.980371683740026,1,0.08333333333333333,11
Rogério Correia,204480,PT,MG,camara,PL,PL 2787/2019,Convergente,12,-8.137664598537768,-7.783066752626986,1,0.08333333333333333,11
Zé Silva,160632,SOLIDARIEDADE,MG,camara,PL,PL 2787/2019,Convergente,12,3.5869005193279264,4.118648116868409,1,0.08333333333333333,11
Alessandro Molon,160511,PSB,RJ,camara,PL,PL 18/2019,Convergente,10,-3.0153705474707024,-7.358340047947766,1,0.1,9
Aliel Machado,178927,PSB,PR,camara,PL,PL 18/2019,Convergente,10,-1.846949833893122,-3.665227598078964,1,0.1,9
Bira Do Pindaré,204561,PSB,MA,camara,PL,PL 18/2019,Convergente,10,-3.238488640226164,-3.98634502900903,1,0.1,9
Danilo Cabral,160528,PSB,PE,camara,PL,PL 18/2019,Convergente,10,-2.047362016695641,-4.980876054232571,1,0.1,9
Denis Bezerra,204542,PSB,CE,camara,PL,PL 18/2019,Convergente,10,-2.5327567680271166,-5.105662717563037,1,0.1,9
Felipe Rigoni,204371,PSB,ES,camara,PL,PL 18/2019,Convergente,10,0.9186985765946751,-2.461091046447561,1,0.1,9
João H. Campos,204429,PSB,PE,camara,PL,PL 18/2019,Convergente,10,-2.292028476151698,-4.122259940741983,1,0.1,9
Liziane Bayer,204405,PSB,RS,camara,PL,PL 18/2019,Convergente,10,0.6823509960692657,-1.9313738619475522,1,0.1,9
Rodrigo Agostinho,204530,PSB,SP,camara,PL,PL 18/2019,Convergente,10,-1.104189577398282,-3.72831522733207,1,0.1,9
Rosana Valle,204525,PSB,SP,camara,PL,PL 18/2019,Convergente,10,0.6542859019208791,-1.8014788958406474,1,0.1,9
Fred Costa,204494,PATRIOTA,MG,camara,PL,PL 41/2019,Convergente,1,3.407626781209366,-1.6084282254769455,1,1,0
Fred Costa,204494,PATRIOTA,MG,camara,PL,PL 42/2019,Convergente,1,3.407626781209366,-1.6084282254769455,1,1,0
Fred Costa,204494,PATRIOTA,MG,camara,PL,PL 48/2019,Convergente,1,3.407626781209366,-1.6084282254769455,1,1,0
Fred Costa,204494,PATRIOTA,MG,camara,PL,PL 49/2019,Convergente,1,3.407626781209366,-1.6084282254769455,1,1,0
Fred Costa,204494,PATRIOTA,MG,camara,PL,PL 50/2019,Neutro,1,3.407626781209366,-1.6084282254769455,1,1,0
Fred Costa,204494,PATRIOTA,MG,camara,PL,PL 51/2019,Neutro,1,3.407626781209366,-1.6084282254769455,1,1,0
Fred Costa,204494,PATRIOTA,MG,camara,PL,PL 52/2019,Convergente,1,3.407626781209366,-1.6084282254769455,1,1,0
Fred Costa,204494,PATRIOTA,MG,camara,PL,PL 53/2019,Neutro,1,3.407626781209366,-1.6084282254769455,1,1,0
Fred Costa,204494,PATRIOTA,MG,camara,PL,PL 55/2019,Neutro,1,3.407626781209366,-1.6084282254769455,1,1,0
Fred Costa,204494,PATRIOTA,MG,camara,PL,PL 56/2019,Neutro,1,3.407626781209366,-1.6084282254769455,1,1,0
Fred Costa,204494,PATRIOTA,MG,camara,PL,PL 57/2019,Neutro,1,3.407626781209366,-1.6084282254769455,1,1,0
Fred Costa,204494,PATRIOTA,MG,camara,PL,PL 58/2019,Convergente,1,3.407626781209366,-1.6084282254769455,1,1,0
Fred Costa,204494,PATRIOTA,MG,camara,PL,PL 62/2019,Neutro,1,3.407626781209366,-1.6084282254769455,1,1,0
Fred Costa,204494,PATRIOTA,MG,camara,PL,PL 61/2019,Neutro,1,3.407626781209366,-1.6084282254769455,1,1,0
Fred Costa,204494,PATRIOTA,MG,camara,PL,PL 60/2019,Convergente,1,3.407626781209366,-1.6084282254769455,1,1,0
Rodrigo Agostinho,204530,PSB,SP,camara,PL,PL 108/2019,Convergente,1,-1.104189577398282,-3.72831522733207,1,1,0
Renata Abreu,178989,PODE,SP,camara,PL,PL 116/2019,Convergente,1,2.8398416070695554,-0.28980813583944176,1,1,0
Heitor Schuch,178964,PSB,RS,camara,PL,PL 149/2019,Convergente,1,-2.0915378007306895,-5.163485085235787,1,1,0
José Nelto,204391,PODE,GO,camara,PL,PL 153/2019,Convergente,1,2.6472798724424678,-1.528339033098721,1,1,0
Fred Costa,204494,PATRIOTA,MG,camara,PL,PL 43/2019,Convergente,1,3.407626781209366,-1.6084282254769455,1,1,0
Fred Costa,204494,PATRIOTA,MG,camara,PL,PL 45/2019,Neutro,1,3.407626781209366,-1.6084282254769455,1,1,0
Fred Costa,204494,PATRIOTA,MG,camara,PL,PL 47/2019,Neutro,1,3.407626781209366,-1.6084282254769455,1,1,0
Fred Costa,204494,PATRIOTA,MG,camara,PL,PL 46/2019,Neutro,1,3.407626781209366,-1.6084282254769455,1,1,0
Igor Timo,204508,PODE,MG,camara,PL,PL 184/2019,Neutro,1,2.9170304425732,0.5622812910384312,1,1,0
Célio Studart,204488,PV,CE,camara,PL,PL 269/2019,Convergente,1,-1.1376416668423701,-3.7025323831707446,1,1,0
Rubens Otoni,74371,PT,GO,camara,PL,PL 293/2019,Convergente,1,-7.219771333846651,-8.106073196933556,1,1,0
Rubens Otoni,74371,PT,GO,camara,PL,PL 299/2019,Convergente,1,-7.219771333846651,-8.106073196933556,1,1,0
Rubens Otoni,74371,PT,GO,camara,PL,PL 302/2019,Convergente,1,-7.219771333846651,-8.106073196933556,1,1,0
Rubens Otoni,74371,PT,GO,camara,PL,PL 303/2019,Convergente,1,-7.219771333846651,-8.106073196933556,1,1,0
Rubens Otoni,74371,PT,GO,camara,PL,PL 315/2019,Convergente,1,-7.219771333846651,-8.106073196933556,1,1,0
Rubens Otoni,74371,PT,GO,camara,PL,PL 317/2019,Convergente,1,-7.219771333846651,-8.106073196933556,1,1,0
Rubens Otoni,74371,PT,GO,camara,PL,PL 312/2019,Convergente,1,-7.219771333846651,-8.106073196933556,1,1,0
Carmen Zanotto,164360,CIDADANIA,SC,camara,PL,PL 336/2019,Convergente,1,1.9309031523639053,0.7621424803901604,1,1,0
Tereza Cristina,178901,DEM,MS,camara,PL,PL 355/2019,Convergente,1,8.128740800787334,NA,1,1,0
Leandre,178832,PV,PR,camara,PL,PL 357/2019,Convergente,1,1.2311911448674895,-2.7719633575816918,1,1,0
Alceu Moreira,160559,MDB,RS,camara,PL,PL 361/2019,Convergente,1,4.390474277201349,3.9770647376141266,1,1,0
Alceu Moreira,160559,MDB,RS,camara,PL,PL 366/2019,Convergente,1,4.390474277201349,3.9770647376141266,1,1,0
Rafael Motta,178951,PSB,RN,camara,PL,PL 384/2019,Convergente,1,-1.6632441091843102,-4.539019354220075,1,1,0
Rafael Motta,178951,PSB,RN,camara,PL,PL 394/2019,Convergente,1,-1.6632441091843102,-4.539019354220075,1,1,0
Rubens Bueno,73466,CIDADANIA,PR,camara,PL,PL 427/2019,Convergente,1,2.19401330610385,1.949177727522187,1,1,0
Rubens Bueno,73466,CIDADANIA,PR,camara,PL,PL 440/2019,Convergente,1,2.19401330610385,1.949177727522187,1,1,0
Célio Moura,204370,PT,TO,camara,PL,PL 471/2019,Convergente,1,-4.482645441188434,-6.747522743646701,1,1,0
Rodrigo Agostinho,204530,PSB,SP,camara,PL,PL 473/2019,Neutro,1,-1.104189577398282,-3.72831522733207,1,1,0
Jose Mario Schreiner,204386,DEM,GO,camara,PL,PL 477/2019,Convergente,1,3.7056300665973634,0.3258288800894604,1,1,0
Helder Salomão,178873,PT,ES,camara,PDL,PDL 15/2019,Convergente,1,-6.84870596131532,-7.8348361543111595,1,1,0
Covatti Filho,178963,PP,RS,camara,PL,PL 545/2019,Convergente,1,NA,NA,1,1,0
Paulo Pimenta,74400,PT,RS,camara,PL,PL 560/2019,Convergente,1,-6.208934307030493,-8.364520087920878,1,1,0
Delegado Waldir,164359,PSL,GO,camara,PL,PL 561/2019,Convergente,1,3.45728803892575,-0.5315860929198788,1,1,0
Vicentinho Júnior,137070,PL,TO,camara,PL,PL 567/2019,Convergente,1,6.195854905132656,4.965167918299237,1,1,0
Joenia Wapichana,204468,REDE,RR,camara,PL,PL 570/2019,Convergente,1,-2.125582761138035,-4.121369358730881,1,1,0
Flávia Arruda,204354,PL,DF,camara,PL,PL 597/2019,Convergente,1,4.226467449839289,5.072996812854294,1,1,0
Eros Biondini,160640,PROS,MG,camara,PL,PL 608/2019,Convergente,1,5.565859472799824,3.29230211942148,1,1,0
Luiz Nishimori,162332,PL,PR,camara,PL,PL 618/2019,Neutro,1,5.692244129418331,8.060508318379064,1,1,0
João Daniel,178970,PT,SE,camara,PL,PL 631/2019,Convergente,1,-4.936720480677984,-8.023851506430141,1,1,0
Sergio Vidigal,178874,PDT,ES,camara,PL,PL 649/2019,Convergente,1,-1.514690464626824,-3.4164074015434096,1,1,0
Célio Studart,204488,PV,CE,camara,PL,PL 707/2019,Neutro,1,-1.1376416668423701,-3.7025323831707446,1,1,0
Fred Costa,204494,PATRIOTA,MG,camara,PL,PL 710/2019,Convergente,1,3.407626781209366,-1.6084282254769455,1,1,0
Fábio Trad,160587,PSD,MS,camara,PL,PL 716/2019,Convergente,1,2.5902597184141474,0.9020517386744764,1,1,0
Rodrigo Agostinho,204530,PSB,SP,camara,PL,PL 784/2019,Convergente,1,-1.104189577398282,-3.72831522733207,1,1,0
Rubens Pereira Júnior,178887,PCdoB,MA,camara,PL,PL 793/2019,Convergente,1,-3.579665698895634,-6.302495867843601,1,1,0
Célio Studart,204488,PV,CE,camara,PL,PL 857/2019,Convergente,1,-1.1376416668423701,-3.7025323831707446,1,1,0
Célio Studart,204488,PV,CE,camara,PL,PL 858/2019,Neutro,1,-1.1376416668423701,-3.7025323831707446,1,1,0
Pompeo De Mattos,73486,PDT,RS,camara,PL,PL 890/2019,Convergente,1,-0.890509369937476,-0.7667211233073292,1,1,0
Hugo Leal,141450,PSD,RJ,camara,PL,PL 914/2019,Convergente,1,3.77194620917658,0.062158914334329296,1,1,0
Fábio Trad,160587,PSD,MS,camara,PL,PL 928/2019,Neutro,1,2.5902597184141474,0.9020517386744764,1,1,0
Célio Studart,204488,PV,CE,camara,PL,PL 948/2019,Convergente,1,-1.1376416668423701,-3.7025323831707446,1,1,0
Célio Studart,204488,PV,CE,camara,PL,PL 949/2019,Convergente,1,-1.1376416668423701,-3.7025323831707446,1,1,0
Célio Studart,204488,PV,CE,camara,PL,PL 951/2019,Convergente,1,-1.1376416668423701,-3.7025323831707446,1,1,0
Célio Studart,204488,PV,CE,camara,PL,PL 965/2019,Convergente,1,-1.1376416668423701,-3.7025323831707446,1,1,0
Célio Studart,204488,PV,CE,camara,PL,PL 966/2019,Convergente,1,-1.1376416668423701,-3.7025323831707446,1,1,0
Célio Studart,204488,PV,CE,camara,PL,PL 967/2019,Convergente,1,-1.1376416668423701,-3.7025323831707446,1,1,0
Célio Studart,204488,PV,CE,camara,PL,PL 968/2019,Convergente,1,-1.1376416668423701,-3.7025323831707446,1,1,0
Célio Studart,204488,PV,CE,camara,PL,PL 969/2019,Convergente,1,-1.1376416668423701,-3.7025323831707446,1,1,0
Célio Studart,204488,PV,CE,camara,PL,PL 970/2019,Convergente,1,-1.1376416668423701,-3.7025323831707446,1,1,0
Kim Kataguiri,204536,DEM,SP,camara,PL,PL 987/2019,Convergente,1,5.325338726657449,4.243276529387021,1,1,0
Ricardo Izar,160655,PP,SP,camara,PL,PL 1005/2019,Convergente,2,2.688062555262661,-1.8385838319310785,1,0.5,1
Weliton Prado,160518,PROS,MG,camara,PL,PL 1005/2019,Convergente,2,-0.29176363544765316,-3.317668824913693,1,0.5,1
José Medeiros,204472,PODE,MT,camara,PL,PL 1064/2019,Convergente,1,5.37763155177139,4.436545447461652,1,1,0
Edna Henrique,204421,PSDB,PB,camara,PL,PL 1092/2019,Convergente,1,2.2647280778297514,0.3234725978341437,1,1,0
Fred Costa,204494,PATRIOTA,MG,camara,PL,PL 1095/2019,Convergente,1,3.407626781209366,-1.6084282254769455,1,1,0
Célio Studart,204488,PV,CE,camara,PL,PL 1097/2019,Convergente,1,-1.1376416668423701,-3.7025323831707446,1,1,0
Célio Studart,204488,PV,CE,camara,PL,PL 1113/2019,Convergente,1,-1.1376416668423701,-3.7025323831707446,1,1,0
Alexandre Padilha,204503,PT,SP,camara,PDL,PDL 43/2019,Convergente,1,-7.175689343733485,-9.071795978160024,1,1,0
Rubens Otoni,74371,PT,GO,camara,PL,PL 1123/2019,Convergente,1,-7.219771333846651,-8.106073196933556,1,1,0
Jesus Sérgio,204435,PDT,AC,camara,PL,PL 1130/2019,Convergente,1,-0.24727036869226637,-0.911149520624333,1,1,0
Amaro Neto,204356,REPUBLICANOS,ES,camara,PL,PL 1134/2019,Neutro,1,4.564248751279598,4.628697834548124,1,1,0
Lucio Mosquini,178954,MDB,RO,camara,PL,PL 1164/2019,Divergente,1,3.486032874242685,6.906090730893347,1,1,0
Lincoln Portela,74585,PL,MG,camara,PL,PL 1176/2019,Convergente,1,3.420755536213246,-1.0504054532818277,1,1,0
Rui Falcão,73604,PT,SP,camara,PL,PL 1181/2019,Convergente,1,-5.322373652546416,-7.591285278307389,1,1,0
Fábio Trad,160587,PSD,MS,camara,PL,PL 1202/2019,Neutro,1,2.5902597184141474,0.9020517386744764,1,1,0
Juninho Do Pneu,204457,DEM,RJ,camara,PL,PL 1259/2019,Neutro,1,4.044277954396849,6.710401299653288,1,1,0
Juninho Do Pneu,204457,DEM,RJ,camara,PL,PL 1261/2019,Convergente,1,4.044277954396849,6.710401299653288,1,1,0
Célio Studart,204488,PV,CE,camara,PL,PL 1356/2019,Convergente,1,-1.1376416668423701,-3.7025323831707446,1,1,0
Felipe Carreras,72442,PSB,PE,camara,PL,PL 1371/2019,Convergente,1,0.41913004601843795,-1.6363380967726542,1,1,0
Ricardo Izar,160655,PP,SP,camara,PL,PL 1441/2019,Convergente,2,2.688062555262661,-1.8385838319310785,1,0.5,1
