id_leggo,id_ext,sigla_tipo,numero,ementa,data_apresentacao,casa_origem,status,nome_proposicao,apelido,tema,prioridade,advocacy_link,keywords,tipo_agenda,explicacao_projeto,classificacao_ambientalismo,explicacao_ambientalismo
66723029bbd75a962c71ca8ee7730fe9,2264242,PDL,446,Susta os efeitos da Resolução da Diretoria Colegiada da Agência Nacional de Vigilância Sanitária (ANVISA) em relação à permissão de uso dos estoques remanescentes de produtos à base de Paraquate para a safra 2020-2021.,2020-10-08T16:50:00Z,camara,Ativa,PDL 446/2020,NA,"Agricultura, Pecuária, Pesca e Extrativismo",NA,NA,NA,NA,NA,NA,NA
b9e03f28c77a11bb229f68afb0902211,2264249,PL,4879,Dispõe sobre os empreendimentos de turismo rural da agricultura familiar.,2020-10-09T10:23:00Z,camara,Ativa,PL 4879/2020,NA,"Agricultura, Pecuária, Pesca e Extrativismo",NA,NA,NA,NA,NA,NA,NA
4d2c05b3cede85103ac07b2fa5550b9c,2264296,PL,4902,Altera a redação do art. 41 da Lei 9.605 de 1988 para aumentar a pena para aqueles que provocarem incêndios florestais.,2020-10-13T15:59:00Z,camara,Ativa,PL 4902/2020,NA,Meio Ambiente e Desenvolvimento Sustentável,NA,NA,NA,NA,NA,NA,NA
4253d0b8a56e0e13459e977eef55dce3,2264300,PL,4906,Altera a redação do art. 41 da Lei 9.605 de 1988 para incluir o Bioma do Pantanal no tipo previsto no caput.,2020-10-13T17:15:00Z,camara,Ativa,PL 4906/2020,NA,Meio Ambiente e Desenvolvimento Sustentável,NA,NA,NA,NA,NA,NA,NA
6593c77ef8b3faad174a2daa225d067c,2264310,PLP,246,"Institui o complexo geoeconômico e social do Matopiba, nos termos do art. 43 da Constituição Federal e dá outras providências.",2020-10-14T09:18:00Z,camara,Ativa,PLP 246/2020,NA,"Meio Ambiente e Desenvolvimento Sustentável;Agricultura, Pecuária, Pesca e Extrativismo",NA,NA,NA,NA,NA,NA,NA
730253203fe4bade1c8b15bc31cc0916,2264342,PL,4926,"Estabelece indenização e assegura pensão por morte de dependentes de brigadistas, chefes de esquadrão e chefes de brigada do PREVFOGO/IBAMA. Altera a Lei nº 8.213, de 24 de julho de 1991.",2020-10-14T17:43:00Z,camara,Ativa,PL 4926/2020,NA,Meio Ambiente e Desenvolvimento Sustentável,NA,NA,NA,NA,NA,NA,NA
35100ca50591e9c71ad264301f47f1cb,2264343,PL,4927,Altera a redação do art. 10 da Lei 4.829/1965 para considerar inidôneo para fins de obtenção de crédito rural os condenados pelo crime previsto no 41 da Lei 9.605/1998,2020-10-14T17:43:00Z,camara,Ativa,PL 4927/2020,NA,"Meio Ambiente e Desenvolvimento Sustentável;Agricultura, Pecuária, Pesca e Extrativismo",NA,NA,NA,NA,NA,NA,NA
991ff1274e2f294db918b31a8f4773aa,2264344,PL,4928,"Institui o dia do Brigadista Florestal, que será comemorado no dia 1º de setembro.",2020-10-14T17:43:00Z,camara,Ativa,PL 4928/2020,NA,Meio Ambiente e Desenvolvimento Sustentável,NA,NA,NA,NA,NA,NA,NA
da4dd02905eba3fae54842157863b487,2264348,PL,4930,"Altera o art. 41 da Lei nº 9.605, de 12 de fevereiro de 1998, para agravar as sanções e restrições administrativas na hipótese de prática de incêndios criminosos contra matas ou florestas.",2020-10-15T09:12:00Z,camara,Ativa,PL 4930/2020,NA,Meio Ambiente e Desenvolvimento Sustentável,NA,NA,NA,NA,NA,NA,NA
f0d9d48e8c54f8121f9322b4f6f985c8,2264351,PL,4933,"Insere dispositivos na Lei nº 12.651, de 25 de maio de 2012, para proibir o desenvolvimento de atividades econômicas em áreas queimadas, sem autorização.",2020-10-15T09:42:00Z,camara,Ativa,PL 4933/2020,NA,Meio Ambiente e Desenvolvimento Sustentável,NA,NA,NA,NA,NA,NA,NA
