id_leggo,id_principal,casa,id_autor.x,id_autor.y,peso_arestas,num_coautorias,nome.x,partido.x,uf.x,casa_autor.x,bancada.x,nome.y,partido.y,uf.y,casa_autor.y,bancada.y
ba9b9c25cbb737369245a9b06d6cff42,140534,senado,3396,3396,3,3,Sen. Tasso Jereissati,PSDB,CE,senado,governo,Sen. Tasso Jereissati,PSDB,CE,senado,governo
ba9b9c25cbb737369245a9b06d6cff42,140534,senado,35,35,1,1,Sen. Jader Barbalho,MDB,PA,senado,governo,Sen. Jader Barbalho,MDB,PA,senado,governo
ba9b9c25cbb737369245a9b06d6cff42,140534,senado,374,374,2,2,Sen. Paulo Rocha,PT,PA,senado,oposição,Sen. Paulo Rocha,PT,PA,senado,oposição
ba9b9c25cbb737369245a9b06d6cff42,140534,senado,374,5352,1.25,3,Sen. Paulo Rocha,PT,PA,senado,oposição,Sen. Rogério Carvalho,PT,SE,senado,oposição
ba9b9c25cbb737369245a9b06d6cff42,140534,senado,374,5627,0.25,1,Sen. Paulo Rocha,PT,PA,senado,oposição,Sen. Jean Paul Prates,PT,RN,senado,oposição
ba9b9c25cbb737369245a9b06d6cff42,140534,senado,374,5783,0.25,1,Sen. Paulo Rocha,PT,PA,senado,oposição,Sen. Zenaide Maia,PROS,RN,senado,governo
ba9b9c25cbb737369245a9b06d6cff42,140534,senado,4770,4770,1,1,Sen. Izalci Lucas,PSDB,DF,senado,governo,Sen. Izalci Lucas,PSDB,DF,senado,governo
ba9b9c25cbb737369245a9b06d6cff42,140534,senado,4994,4994,9,9,Sen. Eduardo Braga,MDB,AM,senado,governo,Sen. Eduardo Braga,MDB,AM,senado,governo
ba9b9c25cbb737369245a9b06d6cff42,140534,senado,5012,5012,14,14,Sen. Randolfe Rodrigues,REDE,AP,senado,oposição,Sen. Randolfe Rodrigues,REDE,AP,senado,oposição
ba9b9c25cbb737369245a9b06d6cff42,140534,senado,5352,5352,15,15,Sen. Rogério Carvalho,PT,SE,senado,oposição,Sen. Rogério Carvalho,PT,SE,senado,oposição
ba9b9c25cbb737369245a9b06d6cff42,140534,senado,5352,5627,0.25,1,Sen. Rogério Carvalho,PT,SE,senado,oposição,Sen. Jean Paul Prates,PT,RN,senado,oposição
ba9b9c25cbb737369245a9b06d6cff42,140534,senado,5352,5783,0.25,1,Sen. Rogério Carvalho,PT,SE,senado,oposição,Sen. Zenaide Maia,PROS,RN,senado,governo
ba9b9c25cbb737369245a9b06d6cff42,140534,senado,5411,5411,10,10,Sen. Weverton,PDT,MA,senado,oposição,Sen. Weverton,PDT,MA,senado,oposição
ba9b9c25cbb737369245a9b06d6cff42,140534,senado,5523,5523,1,1,Sen. Otto Alencar,PSD,BA,senado,governo,Sen. Otto Alencar,PSD,BA,senado,governo
ba9b9c25cbb737369245a9b06d6cff42,140534,senado,5533,5533,1,1,Sen. Lasier Martins,PODEMOS,RS,senado,governo,Sen. Lasier Martins,PODEMOS,RS,senado,governo
ba9b9c25cbb737369245a9b06d6cff42,140534,senado,5535,5535,2,2,Sen. Telmário Mota,PROS,RR,senado,governo,Sen. Telmário Mota,PROS,RR,senado,governo
ba9b9c25cbb737369245a9b06d6cff42,140534,senado,5585,5585,1,1,Sen. Luiz do Carmo,MDB,GO,senado,governo,Sen. Luiz do Carmo,MDB,GO,senado,governo
ba9b9c25cbb737369245a9b06d6cff42,140534,senado,5627,5627,1,1,Sen. Jean Paul Prates,PT,RN,senado,oposição,Sen. Jean Paul Prates,PT,RN,senado,oposição
ba9b9c25cbb737369245a9b06d6cff42,140534,senado,5627,5783,0.25,1,Sen. Jean Paul Prates,PT,RN,senado,oposição,Sen. Zenaide Maia,PROS,RN,senado,governo
ba9b9c25cbb737369245a9b06d6cff42,140534,senado,5718,5718,2,2,Sen. Eliziane Gama,CIDADANIA,MA,senado,governo,Sen. Eliziane Gama,CIDADANIA,MA,senado,governo
ba9b9c25cbb737369245a9b06d6cff42,140534,senado,5732,5732,4,4,Sen. Rodrigo Pacheco,DEM,MG,senado,governo,Sen. Rodrigo Pacheco,DEM,MG,senado,governo
ba9b9c25cbb737369245a9b06d6cff42,140534,senado,5748,5748,19,19,Sen. Veneziano Vital do Rêgo,PSB,PB,senado,oposição,Sen. Veneziano Vital do Rêgo,PSB,PB,senado,oposição
ba9b9c25cbb737369245a9b06d6cff42,140534,senado,5783,5783,3,3,Sen. Zenaide Maia,PROS,RN,senado,governo,Sen. Zenaide Maia,PROS,RN,senado,governo
ba9b9c25cbb737369245a9b06d6cff42,140534,senado,581,581,2,2,Sen. Jaques Wagner,PT,BA,senado,oposição,Sen. Jaques Wagner,PT,BA,senado,oposição
ba9b9c25cbb737369245a9b06d6cff42,140534,senado,5895,5895,3,3,Sen. Jorge Kajuru,PATRIOTA,GO,senado,governo,Sen. Jorge Kajuru,PATRIOTA,GO,senado,governo
ba9b9c25cbb737369245a9b06d6cff42,140534,senado,5905,5905,1,1,Sen. Rodrigo Cunha,PSDB,AL,senado,governo,Sen. Rodrigo Cunha,PSDB,AL,senado,governo
ba9b9c25cbb737369245a9b06d6cff42,140534,senado,5942,5942,1,1,Sen. Marcos do Val,PODEMOS,ES,senado,governo,Sen. Marcos do Val,PODEMOS,ES,senado,governo
ba9b9c25cbb737369245a9b06d6cff42,140534,senado,5953,5953,8,8,Sen. Fabiano Contarato,REDE,ES,senado,oposição,Sen. Fabiano Contarato,REDE,ES,senado,oposição
ba9b9c25cbb737369245a9b06d6cff42,140534,senado,5979,5979,1,1,Sen. Leila Barros,PSB,DF,senado,oposição,Sen. Leila Barros,PSB,DF,senado,oposição
ba9b9c25cbb737369245a9b06d6cff42,140534,senado,5982,5982,1,1,Sen. Alessandro Vieira,CIDADANIA,SE,senado,governo,Sen. Alessandro Vieira,CIDADANIA,SE,senado,governo
ba9b9c25cbb737369245a9b06d6cff42,140534,senado,6027,6027,1,1,Sen. Mecias de Jesus,REPUBLICANOS,RR,senado,governo,Sen. Mecias de Jesus,REPUBLICANOS,RR,senado,governo
ba9b9c25cbb737369245a9b06d6cff42,140534,senado,945,945,2,2,Sen. Alvaro Dias,PODEMOS,PR,senado,governo,Sen. Alvaro Dias,PODEMOS,PR,senado,governo
bb11bd8140ae5e01dbf0944857bc71e9,137008,senado,5748,5748,1,1,Sen. Veneziano Vital do Rêgo,PSB,PB,senado,oposição,Sen. Veneziano Vital do Rêgo,PSB,PB,senado,oposição
bb11bd8140ae5e01dbf0944857bc71e9,137008,senado,5982,5982,1,1,Sen. Alessandro Vieira,CIDADANIA,SE,senado,governo,Sen. Alessandro Vieira,CIDADANIA,SE,senado,governo
bddfa2d0a0bccaf4030f275e55c844c9,145598,senado,5990,5990,1,1,Sen. Carlos Viana,PSD,MG,senado,governo,Sen. Carlos Viana,PSD,MG,senado,governo
c06ff882858cb0cf9a277734a8b52309,144969,senado,35,35,1,1,Sen. Jader Barbalho,MDB,PA,senado,governo,Sen. Jader Barbalho,MDB,PA,senado,governo
c0826fb96df3117e7e494d6ea71f2f7b,144993,senado,470,470,1,1,Sen. Chico Rodrigues,DEM,RR,senado,governo,Sen. Chico Rodrigues,DEM,RR,senado,governo
c08ac5eecb70a8d884aafbd636f5e3d9,139856,senado,4770,4770,2,2,Sen. Izalci Lucas,PSDB,DF,senado,governo,Sen. Izalci Lucas,PSDB,DF,senado,governo
c08ac5eecb70a8d884aafbd636f5e3d9,139856,senado,5748,5748,1,1,Sen. Veneziano Vital do Rêgo,PSB,PB,senado,oposição,Sen. Veneziano Vital do Rêgo,PSB,PB,senado,oposição
c08ac5eecb70a8d884aafbd636f5e3d9,139856,senado,825,825,1,1,Sen. Paulo Paim,PT,RS,senado,oposição,Sen. Paulo Paim,PT,RS,senado,oposição
c20da5fe61863159a382e7454add4e99,132156,senado,5979,5979,3,3,Sen. Leila Barros,PSB,DF,senado,oposição,Sen. Leila Barros,PSB,DF,senado,oposição
c3ffb2d938e9cf73197d8731aa6c3255,142690,senado,5352,5352,1,1,Sen. Rogério Carvalho,PT,SE,senado,oposição,Sen. Rogério Carvalho,PT,SE,senado,oposição
c3ffb2d938e9cf73197d8731aa6c3255,142690,senado,5529,5529,2,2,Sen. Antonio Anastasia,PSD,MG,senado,governo,Sen. Antonio Anastasia,PSD,MG,senado,governo
