Ambientalismo orienta SIM/NÃO/LIBERADO,id_proposicao,id_votacao,nome_proposicao,ementa_proposicao,obj_votacao,votacao_secreta,resumo,tema,cod_sessao,hora,data,data_apresentacao_proposicao,autor,uri_tramitacao,is_nominal
LIBERADO,136635,5971,PDL 233/2019,"Susta o Decreto nº 9.785, de 07 de Maio de 2019, que regulamenta a Lei nº 10.826, de 22 de dezembro de 2003, para dispor sobre a aquisição, o cadastro, o registro, a posse, o porte e a comercialização de armas de fogo e de munição e sobre o Sistema Nacional de Armas e o Sistema Nacional de Gerenciamento Militar de Armas.","Projeto de Decreto Legislativo nº 233, de 2019",0,https://www25.senado.leg.br:443/web/atividade/materias/-/materia/136635/votacoes#votacao_5971,Nao especificado,,,2019-06-18,2019-05-08,Senador Randolfe Rodrigues (REDE/AP),https://www25.senado.leg.br/web/atividade/materias/-/materia/136635,1
LIBERADO,141114,6082,PDL 88/2020,"Reconhece, para os fins do art. 65 da Lei Complementar nº 101, de 4 de maio de 2000, a ocorrência do estado de calamidade pública, nos termos da solicitação do Presidente da República encaminhada por meio da Mensagem nº 93, de 18 de março de 2020.",Votação do PDL 88/2020,0,https://www25.senado.leg.br:443/web/atividade/materias/-/materia/141114/votacoes#votacao_6082,Nao especificado,,,2020-03-20,2020-03-20,Câmara dos Deputados,https://www25.senado.leg.br/web/atividade/materias/-/materia/141114,1
SIM,141437,6121,PL 1543/2020,Autoriza a prorrogação de dívidas rurais em decorrência da pandemia do coronavírus (Covid-19).,"Votação do Projeto de Lei nº 1.543, de 2020 e Emendas, nos termos do parecer.",0,https://www25.senado.leg.br:443/web/atividade/materias/-/materia/141437/votacoes#votacao_6121,"Agricultura, pecuária e abastecimento",,,2020-05-26,2020-04-06,Senador Mecias de Jesus (REPUBLICANOS/RR),https://www25.senado.leg.br/web/atividade/materias/-/materia/141437,1
LIBERADO,140534,6144,PL 4162/2019,"Atualiza o marco legal do saneamento básico e altera a Lei nº 9.984, de 17 de julho de 2000, para atribuir à Agência Nacional de Águas e Saneamento Básico (ANA) competência para editar normas de referência sobre o serviço de saneamento; a Lei nº 10.768, de 19 de novembro de 2003, para alterar as atribuições do cargo de Especialista em Recursos Hídricos e Saneamento Básico; a Lei nº 11.107, de 6 de abril de 2005, para vedar a prestação por contrato de programa dos serviços públicos de que trata o art. 175 da Constituição Federal; a Lei nº 11.445, de 5 de janeiro de 2007, para aprimorar as condições estruturais do saneamento básico no País; a Lei nº 12.305, de 2 de agosto de 2010, para tratar dos prazos para a disposição final ambientalmente adequada dos rejeitos; a Lei nº 13.089, de 12 de janeiro de 2015 (Estatuto da Metrópole), para estender seu âmbito de aplicação às microrregiões; e a Lei nº 13.529, de 4 de dezembro de 2017, para autorizar a União a participar de fundo com a finalidade exclusiva de financiar serviços técnicos especializados.","Votação do Projeto de Lei nº 4162, de 2019, nos termos do Parecer.",0,https://www25.senado.leg.br:443/web/atividade/materias/-/materia/140534/votacoes#votacao_6144,Recursos hídricos,,,2020-06-24,2020-03-04, Câmara dos Deputados,https://www25.senado.leg.br/web/atividade/materias/-/materia/140534,1
NA,145668,6257,PDL 510/2020,"Susta os efeitos da Portaria n° 189, de 10 de novembro de 2020, que estabelece as diretrizes para a seleção das personalidades notáveis negras, nacionais ou estrangeiras, a serem divulgadas no sítio eletrônico da Fundação Cultural Palmares.","Votação do Projeto de Decreto Legislativo nº 510, de 2020, nos termos do Parecer (Susta os efeitos da Portaria nº 189, de 10 de novembro de 2020, que estabelece as diretrizes para a seleção das personalidades notáveis negras, nacionais ou estrageiras, a serem divulgadas no sítio eletrônico da Fundação Cultural Palmares.).",0,https://www25.senado.leg.br:443/web/atividade/materias/-/materia/145668/votacoes#votacao_6257,Nao especificado,,,2020-12-09,2020-12-03,Senador Alessandro Vieira (CIDADANIA/SE),https://www25.senado.leg.br/web/atividade/materias/-/materia/145668,1
NA,140419,6264,RQS 1/2020,"Voto de aplauso ao ex-Senador e imortal da Academia Paraibana de Letras, Roberto Cavalcanti.","Votação do Requerimento de Retirada de Pauta do PL nº 2.963, de 2019.",0,https://www25.senado.leg.br:443/web/atividade/materias/-/materia/140419/votacoes#votacao_6264,Nao especificado,,,2020-12-15,2020-02-04,Senadora Daniella Ribeiro (PP/PB),https://www25.senado.leg.br/web/atividade/materias/-/materia/140419,1
NA,146053,6272,PDL 562/2020,"Aprova o texto da Convenção Interamericana contra o Racismo, a Discriminação Racial e Formas Correlatas de Intolerância, adotada na Guatemala, por ocasião da 43ª Sessão Ordinária da Assembleia Geral da Organização dos Estados Americanos, em 5 de junho de 2013.","Votação nominal do Projeto de Decreto Legislativo nº 562, de 2020 (1º Turno).",0,https://www25.senado.leg.br:443/web/atividade/materias/-/materia/146053/votacoes#votacao_6272,Nao especificado,,,2021-02-10,2020-12-16,Câmara dos Deputados,https://www25.senado.leg.br/web/atividade/materias/-/materia/146053,1
NA,146053,6273,PDL 562/2020,"Aprova o texto da Convenção Interamericana contra o Racismo, a Discriminação Racial e Formas Correlatas de Intolerância, adotada na Guatemala, por ocasião da 43ª Sessão Ordinária da Assembleia Geral da Organização dos Estados Americanos, em 5 de junho de 2013.","Votação nominal do Projeto de Decreto Legislativo nº 562, de 2020 (2º Turno).",0,https://www25.senado.leg.br:443/web/atividade/materias/-/materia/146053/votacoes#votacao_6273,Nao especificado,,,2021-02-10,2020-12-16,Câmara dos Deputados,https://www25.senado.leg.br/web/atividade/materias/-/materia/146053,1
NA,146053,6274,PDL 562/2020,"Aprova o texto da Convenção Interamericana contra o Racismo, a Discriminação Racial e Formas Correlatas de Intolerância, adotada na Guatemala, por ocasião da 43ª Sessão Ordinária da Assembleia Geral da Organização dos Estados Americanos, em 5 de junho de 2013.",Votação em 1º turno,0,https://www25.senado.leg.br:443/web/atividade/materias/-/materia/146053/votacoes#votacao_6274,Nao especificado,,,2021-02-10,2020-12-16,Câmara dos Deputados,https://www25.senado.leg.br/web/atividade/materias/-/materia/146053,1
NA,146053,6275,PDL 562/2020,"Aprova o texto da Convenção Interamericana contra o Racismo, a Discriminação Racial e Formas Correlatas de Intolerância, adotada na Guatemala, por ocasião da 43ª Sessão Ordinária da Assembleia Geral da Organização dos Estados Americanos, em 5 de junho de 2013.",Votação em 2º turno,0,https://www25.senado.leg.br:443/web/atividade/materias/-/materia/146053/votacoes#votacao_6275,Nao especificado,,,2021-02-10,2020-12-16,Câmara dos Deputados,https://www25.senado.leg.br/web/atividade/materias/-/materia/146053,1
NA,147211,6305,PRS 16/2021,"Disciplina o tratamento a ser dispensado às operações realizadas de acordo com as Leis Complementares nº 156, de 28 de dezembro de 2016, nº 159, de 19 de maio de 2017, e nº 178, de 13 de janeiro de 2021, no que tange às contratações dessas operações e às concessões de garantia pela União previstas nas Resoluções do Senado Federal nos 40 e 43, de 2001, e nº 48, de 2007, bem como autoriza a realização de aditamentos contratuais a operações de crédito externo da União, dos Estados, do Distrito Federal e dos Municípios, e de suas respectivas administrações indiretas, cuja finalidade seja a¿ substituição da taxa de juros aplicável a essas operações, no caso de a taxa vigente ser baseada na London InterBank Offered Rate – LIBOR ou na European Interbank Offered Rate – EURIBOR.","Votação da Emenda nº 1, destacada.",0,https://www25.senado.leg.br:443/web/atividade/materias/-/materia/147211/votacoes#votacao_6305,Nao especificado,,,2021-04-14,2021-03-05,Senador Fernando Bezerra Coelho (MDB/PE),https://www25.senado.leg.br/web/atividade/materias/-/materia/147211,1
NA,135527,6309,PDL 50/2019,"Aprova o texto do Protocolo Adicional ao Tratado de Amizade, Cooperação e Consulta entre a República Federativa do Brasil e a República Portuguesa, que Cria o Prêmio Monteiro Lobato de Literatura para a Infância e a Juventude, assinado em Salvador, em 5 de maio de 2017.",Votação nominal do PDL 50/2019.,0,https://www25.senado.leg.br:443/web/atividade/materias/-/materia/135527/votacoes#votacao_6309,Nao especificado,,,2021-04-28,2019-02-28, Câmara dos Deputados,https://www25.senado.leg.br/web/atividade/materias/-/materia/135527,1
NA,149310,6386,PL 12/2021 (Substitutivo-CD),"Altera a Lei nº 9.279, de 14 de maio de 1996, para dispor sobre a licença compulsória de patentes nos casos de declaração de emergência nacional ou internacional ou de interesse público, ou de reconhecimento de estado de calamidade pública de âmbito nacional.",Votação nominal do Substitutivo da Câmara dos Deputados ao PL nº 12/2021,0,https://www25.senado.leg.br:443/web/atividade/materias/-/materia/149310/votacoes#votacao_6386,Nao especificado,,,2021-08-11,2021-08-09,Câmara dos Deputados,https://www25.senado.leg.br/web/atividade/materias/-/materia/149310,1
NA,149107,6387,PLP 108/2021,"Altera a Lei Complementar nº 123, de 14 de dezembro de 2006, para permitir o enquadramento como Microempreendedor Individual (MEI) pessoa com receita bruta anual igual ou inferior a R$ 130.000,00 (cento e trinta mil reais), bem como para possibilitar que o MEI possa contratar até dois empregados.",Votação nominal,0,https://www25.senado.leg.br:443/web/atividade/materias/-/materia/149107/votacoes#votacao_6387,Nao especificado,,,2021-08-12,2021-07-13,Senador Jayme Campos (DEM/MT),https://www25.senado.leg.br/web/atividade/materias/-/materia/149107,1
NA,149498,6396,PL 2336/2021,"Altera a Lei nº 9.615, de 24 de março de 1998, para modificar as regras relativas ao direito de arena sobre o espetáculo desportivo.","(Altera a Lei nº 9.615, de 1998, para modificar as regras relativas ao direito de arena sobre o espetáculo desportivo.)",0,https://www25.senado.leg.br:443/web/atividade/materias/-/materia/149498/votacoes#votacao_6396,Nao especificado,,,2021-08-24,2021-08-20,Câmara dos Deputados,https://www25.senado.leg.br/web/atividade/materias/-/materia/149498,1
NA,149023,6397,PLP 103/2021 (Substitutivo-CD),"Substitutivo da Câmara dos Deputados ao Projeto de Lei Complementar nº 191-B de 2015 do Senado Federal (PLS nº 501/13 na Casa de origem), que “Altera a Lei Complementar nº 116, de 31 de julho de 2003, para explicitar a incidência do Imposto sobre Serviços de Qualquer Natureza (ISS) sobre o monitoramento e rastreamento de veículos e carga”.","(Altera a Lei Complementar nº 116, de 2003, para explicar a incidência de Imposto sobre Serviços de Qualquer Natureza (ISS) sobre o monitoramento e rastreamento de veículos e carga.)",0,https://www25.senado.leg.br:443/web/atividade/materias/-/materia/149023/votacoes#votacao_6397,Nao especificado,,,2021-08-31,2021-07-05,Câmara dos Deputados,https://www25.senado.leg.br/web/atividade/materias/-/materia/149023,1
NA,149497,6401,PLP 9/2021,"Altera a Lei Complementar nº 64, de 18 de maio de 1990, para excluir da incidência da inelegibilidade prevista na alínea g do inciso I do caput do seu art. 1º os responsáveis que tenham tido as contas julgadas irregulares, sem imputação de débito, com condenação exclusiva ao pagamento de multa.","(Altera a Lei Complementar nº 64, de 1990, para excluir da incidência da inelegibilidade prevista na alínea G do inciso I do caput do seu art. 1º os responsáveis que tenham tido as contas julgadas irregulares, sem imputação de débito, com condenação exclusiva ao pagamento de multa.)",0,https://www25.senado.leg.br:443/web/atividade/materias/-/materia/149497/votacoes#votacao_6401,Nao especificado,,,2021-09-14,2021-08-19,Câmara dos Deputados,https://www25.senado.leg.br/web/atividade/materias/-/materia/149497,1
NA,149497,6402,PLP 9/2021,"Altera a Lei Complementar nº 64, de 18 de maio de 1990, para excluir da incidência da inelegibilidade prevista na alínea g do inciso I do caput do seu art. 1º os responsáveis que tenham tido as contas julgadas irregulares, sem imputação de débito, com condenação exclusiva ao pagamento de multa.","Votação nominal da Emenda nº 3 - PLEN ao Projeto de Lei Complementar nº 9, de 2021, destacada.",0,https://www25.senado.leg.br:443/web/atividade/materias/-/materia/149497/votacoes#votacao_6402,Nao especificado,,,2021-09-14,2021-08-19,Câmara dos Deputados,https://www25.senado.leg.br/web/atividade/materias/-/materia/149497,1
