id_leggo,id_ext,casa,relator_id,relator_id_parlametria,relator_nome
4af54fac2bf11f83295f79b4494bedb2,2190884,camara,204576,1204576,Joao Roma
708dce104b079367e4da945d9741ff3f,2190986,camara,178986,1178986,Nilto Tatto
d70d58b5c9c0e417a0806bcc58055936,2191668,camara,178886,1178886,Juscelino Filho
1dbe81661ce54b39de6507dabaa33349,2192263,camara,178986,1178986,Nilto Tatto
d0655141109fd7a195eccbbf1e1aa74d,2192431,camara,204395,1204395,Pedro Lupion
b7139f15844c740a385ca58de3cb18de,2192602,camara,141450,1141450,Hugo Leal
eebe22cd305ac44bf5ac393df7fc0611,2193334,camara,121948,1121948,Adriano Do Baldy
aa21cbb14af4f093f0160f139d1e42a7,2193953,camara,178910,1178910,Joaquim Passarinho
65f6d31e1f51ad9bbf222b0bde1b32f0,2195203,camara,204418,1204418,Luizao Goulart
708594c916421646c66642859710e505,2196688,camara,204530,1204530,Rodrigo Agostinho
7db2799740c7bddb7f4701db47ad25e7,2198163,camara,178986,1178986,Nilto Tatto
480355ae3c783211d6b064ab5f2578c0,2199215,camara,204530,1204530,Rodrigo Agostinho
78e334886ead9d8b5f22837d9c1faa19,2204946,camara,74299,174299,Leonidas Cristino
f11a4df4fef3f14758284bb1d008f9d4,2210674,camara,74317,174317,Julio Cesar
eae067d2aade07c3eea353a034ec096c,2210921,camara,160538,1160538,Bohn Gass
f3bdb232dad3575315eae54dca75159e,2210976,camara,204530,1204530,Rodrigo Agostinho
0f1ea9e0ba23edf92f6d4f2d5d2e444c,2213495,camara,204530,1204530,Rodrigo Agostinho
fad9f9b739cc2bd58fce57262adc8f19,2214197,camara,204449,1204449,Nelson Barbudo
17b647f52e0df6042baad20346158c7d,2215118,camara,204530,1204530,Rodrigo Agostinho
a515a252e0c1b3ff6e301372ad6618d3,2218243,camara,160758,1160758,Domingos Savio
91230886ffed18167c50e71962e393c0,2218244,camara,160758,1160758,Domingos Savio
