id_leggo,source,target,value
1bc2466959107dd5a13fd523afd2ffa3,74439,204393,0.30952380952380953
1bc2466959107dd5a13fd523afd2ffa3,74439,204394,0.25
1bc2466959107dd5a13fd523afd2ffa3,74439,204535,0.5
1bc2466959107dd5a13fd523afd2ffa3,74439,74655,0.25
1bc2466959107dd5a13fd523afd2ffa3,74655,132504,0.25
1bc2466959107dd5a13fd523afd2ffa3,74131,141458,0.5
1bed4c4ceb613954b1eea11cd2ef7ca3,132504,160511,0.16666666666666666
1bed4c4ceb613954b1eea11cd2ef7ca3,132504,160541,0.16666666666666666
1bed4c4ceb613954b1eea11cd2ef7ca3,132504,160575,0.16666666666666666
1bed4c4ceb613954b1eea11cd2ef7ca3,160511,160541,0.16666666666666666
1bed4c4ceb613954b1eea11cd2ef7ca3,160511,160575,0.16666666666666666
1bed4c4ceb613954b1eea11cd2ef7ca3,160541,160575,0.16666666666666666
1bed4c4ceb613954b1eea11cd2ef7ca3,73586,132504,0.16666666666666666
1bed4c4ceb613954b1eea11cd2ef7ca3,73586,160511,0.16666666666666666
1bed4c4ceb613954b1eea11cd2ef7ca3,73586,160541,0.16666666666666666
1bed4c4ceb613954b1eea11cd2ef7ca3,73586,160575,0.16666666666666666
1bed4c4ceb613954b1eea11cd2ef7ca3,73586,74439,0.16666666666666666
1bed4c4ceb613954b1eea11cd2ef7ca3,74439,132504,0.16666666666666666
1bed4c4ceb613954b1eea11cd2ef7ca3,74439,160511,0.16666666666666666
1bed4c4ceb613954b1eea11cd2ef7ca3,74439,160541,0.16666666666666666
1bed4c4ceb613954b1eea11cd2ef7ca3,74439,160575,0.16666666666666666
2279e51c1818c4d5eaa8ca05bf8e10f9,825,2331,0.5
2402e12c728a208afaa32fe9abe2e24a,160556,160632,0.1111111111111111
2402e12c728a208afaa32fe9abe2e24a,160556,204491,0.1111111111111111
2402e12c728a208afaa32fe9abe2e24a,160556,204508,0.1111111111111111
2402e12c728a208afaa32fe9abe2e24a,160556,204515,0.1111111111111111
2402e12c728a208afaa32fe9abe2e24a,160556,204518,0.1111111111111111
2402e12c728a208afaa32fe9abe2e24a,160556,204539,0.1111111111111111
2402e12c728a208afaa32fe9abe2e24a,160556,204547,0.1111111111111111
2402e12c728a208afaa32fe9abe2e24a,160632,204491,0.1111111111111111
2402e12c728a208afaa32fe9abe2e24a,160632,204508,0.1111111111111111
2402e12c728a208afaa32fe9abe2e24a,160632,204515,0.1111111111111111
2402e12c728a208afaa32fe9abe2e24a,160632,204518,0.1111111111111111
2402e12c728a208afaa32fe9abe2e24a,160632,204539,0.1111111111111111
2402e12c728a208afaa32fe9abe2e24a,160632,204547,0.1111111111111111
2402e12c728a208afaa32fe9abe2e24a,204491,204508,0.1111111111111111
2402e12c728a208afaa32fe9abe2e24a,204491,204515,0.1111111111111111
2402e12c728a208afaa32fe9abe2e24a,204491,204518,0.1111111111111111
2402e12c728a208afaa32fe9abe2e24a,204491,204539,0.1111111111111111
2402e12c728a208afaa32fe9abe2e24a,204491,204547,0.1111111111111111
2402e12c728a208afaa32fe9abe2e24a,204508,204515,0.1111111111111111
2402e12c728a208afaa32fe9abe2e24a,204508,204518,0.1111111111111111
2402e12c728a208afaa32fe9abe2e24a,204508,204539,0.1111111111111111
2402e12c728a208afaa32fe9abe2e24a,204508,204547,0.1111111111111111
2402e12c728a208afaa32fe9abe2e24a,204515,204518,0.1111111111111111
2402e12c728a208afaa32fe9abe2e24a,204515,204539,0.1111111111111111
2402e12c728a208afaa32fe9abe2e24a,204515,204547,0.1111111111111111
2402e12c728a208afaa32fe9abe2e24a,204518,204539,0.1111111111111111
2402e12c728a208afaa32fe9abe2e24a,204518,204547,0.1111111111111111
2402e12c728a208afaa32fe9abe2e24a,204539,204547,0.1111111111111111
2402e12c728a208afaa32fe9abe2e24a,73586,160556,0.1111111111111111
2402e12c728a208afaa32fe9abe2e24a,73586,160632,0.1111111111111111
2402e12c728a208afaa32fe9abe2e24a,73586,204491,0.1111111111111111
2402e12c728a208afaa32fe9abe2e24a,73586,204508,0.1111111111111111
2402e12c728a208afaa32fe9abe2e24a,73586,204515,0.1111111111111111
2402e12c728a208afaa32fe9abe2e24a,73586,204518,0.1111111111111111
2402e12c728a208afaa32fe9abe2e24a,73586,204539,0.1111111111111111
2402e12c728a208afaa32fe9abe2e24a,73586,204547,0.1111111111111111
2676dfebdea95eaf97d2cb880ed49c74,178970,204426,0.6666666666666666
2676dfebdea95eaf97d2cb880ed49c74,178970,204480,0.6666666666666666
2676dfebdea95eaf97d2cb880ed49c74,204426,204480,0.6666666666666666
27801502fe8b57eb8c5a318fcfe79d57,132504,160511,0.14285714285714285
27801502fe8b57eb8c5a318fcfe79d57,132504,160541,0.14285714285714285
27801502fe8b57eb8c5a318fcfe79d57,132504,160556,0.14285714285714285
27801502fe8b57eb8c5a318fcfe79d57,132504,204407,0.14285714285714285
27801502fe8b57eb8c5a318fcfe79d57,160511,160541,0.14285714285714285
27801502fe8b57eb8c5a318fcfe79d57,160511,160556,0.14285714285714285
27801502fe8b57eb8c5a318fcfe79d57,160511,204407,0.14285714285714285
27801502fe8b57eb8c5a318fcfe79d57,160541,160556,0.14285714285714285
27801502fe8b57eb8c5a318fcfe79d57,160541,204407,0.14285714285714285
27801502fe8b57eb8c5a318fcfe79d57,160556,204407,0.14285714285714285
27801502fe8b57eb8c5a318fcfe79d57,74161,132504,0.14285714285714285
