id_leggo,id_autor_parlametria,id_ext,casa,id_autor,nome_autor,partido,uf,tipo_autor,casa_autor,tipo_generico,sigla_local,peso_total_documentos,num_documentos,is_important,bancada,tipo_acao
6d2bbca6eb76e7411882054a60839644,1160528,2190446,camara,160528,Danilo Cabral,PSB,PE,Deputado,camara,Prop. Original / Apensada,CCP,0.1,1,FALSE,oposição,Proposição
6d2bbca6eb76e7411882054a60839644,1178927,2190446,camara,178927,Aliel Machado,PSB,PR,Deputado,camara,Prop. Original / Apensada,CCP,0.1,1,FALSE,oposição,Proposição
6d2bbca6eb76e7411882054a60839644,1204371,2190446,camara,204371,Felipe Rigoni,PSB,ES,Deputado,camara,Prop. Original / Apensada,CCP,0.1,1,FALSE,oposição,Proposição
6d2bbca6eb76e7411882054a60839644,1204405,2190446,camara,204405,Liziane Bayer,PSB,RS,Deputado,camara,Prop. Original / Apensada,CCP,0.1,1,FALSE,oposição,Proposição
6d2bbca6eb76e7411882054a60839644,1204429,2190446,camara,204429,João H. Campos,PSB,PE,Deputado,camara,Prop. Original / Apensada,CCP,0.1,1,FALSE,oposição,Proposição
6d2bbca6eb76e7411882054a60839644,1204525,2190446,camara,204525,Rosana Valle,PSB,SP,Deputado,camara,Prop. Original / Apensada,CCP,0.1,1,FALSE,oposição,Proposição
6d2bbca6eb76e7411882054a60839644,1204542,2190446,camara,204542,Denis Bezerra,PSB,CE,Deputado,camara,Prop. Original / Apensada,CCP,0.1,1,FALSE,oposição,Proposição
6d2bbca6eb76e7411882054a60839644,1204561,2190446,camara,204561,Bira Do Pindaré,PSB,MA,Deputado,camara,Prop. Original / Apensada,CCP,0.1,1,FALSE,oposição,Proposição
f1c128dc7e1fb596655c91de8673ed19,1204494,2190474,camara,204494,Fred Costa,PATRIOTA,MG,Deputado,camara,Prop. Original / Apensada,CCP,1,1,FALSE,governo,Proposição
d8907cb1a99f1f3b2e14a20809e5cd6b,1204494,2190475,camara,204494,Fred Costa,PATRIOTA,MG,Deputado,camara,Prop. Original / Apensada,CCP,1,1,FALSE,governo,Proposição
eedf2f7e172a0534c8eeed806eef9164,1204488,2190483,camara,204488,Célio Studart,PV,CE,Deputado,camara,Parecer,CMADS,1,1,TRUE,governo,Outros
eedf2f7e172a0534c8eeed806eef9164,1204494,2190483,camara,204494,Fred Costa,PATRIOTA,MG,Deputado,camara,Prop. Original / Apensada,CFT,1,1,TRUE,governo,Proposição
11d9a94f13ace5c2635bf29f9c146abb,1204421,2190484,camara,204421,Edna Henrique,PSDB,PB,Deputado,camara,Prop. Original / Apensada,CCP,1,1,FALSE,governo,Proposição
11d9a94f13ace5c2635bf29f9c146abb,1204488,2190484,camara,204488,Célio Studart,PV,CE,Deputado,camara,Prop. Original / Apensada,CCP,1,1,FALSE,governo,Proposição
11d9a94f13ace5c2635bf29f9c146abb,1204494,2190484,camara,204494,Fred Costa,PATRIOTA,MG,Deputado,camara,Prop. Original / Apensada,MESA,1,1,FALSE,governo,Proposição
35a3f5cde19057fe000df1c40f39e983,1204488,2190485,camara,204488,Célio Studart,PV,CE,Deputado,camara,Parecer,CMADS,1,1,TRUE,governo,Outros
35a3f5cde19057fe000df1c40f39e983,1204494,2190485,camara,204494,Fred Costa,PATRIOTA,MG,Deputado,camara,Prop. Original / Apensada,CCP,1,1,FALSE,governo,Proposição
35a3f5cde19057fe000df1c40f39e983,1204494,2190485,camara,204494,Fred Costa,PATRIOTA,MG,Deputado,camara,Requerimento,CCP,1,1,FALSE,governo,Proposição
228fb060da529759a1457b4ef7f60fce,1204494,2190486,camara,204494,Fred Costa,PATRIOTA,MG,Deputado,camara,Prop. Original / Apensada,CDC,1,1,TRUE,governo,Proposição
d470af4984c9df98e373fbc8ee708503,1204494,2190487,camara,204494,Fred Costa,PATRIOTA,MG,Deputado,camara,Prop. Original / Apensada,MESA,1,1,FALSE,governo,Proposição
d470af4984c9df98e373fbc8ee708503,1204494,2190487,camara,204494,Fred Costa,PATRIOTA,MG,Deputado,camara,Requerimento,CCP,1,1,FALSE,governo,Proposição
326375760b23616c9ec0f8557bfc2012,1204518,2190488,camara,204518,Dr. Frederico,PATRIOTA,MG,Deputado,camara,Parecer,CCJC,2,2,TRUE,governo,Outros
326375760b23616c9ec0f8557bfc2012,1204494,2190488,camara,204494,Fred Costa,PATRIOTA,MG,Deputado,camara,Prop. Original / Apensada,CCJC,1,1,TRUE,governo,Proposição
fc5673b898073f5dd47fefa92f36e1b0,1204400,2190490,camara,204400,Aline Sleutjes,PSL,PR,Deputado,camara,Parecer,CAPADR,1,1,TRUE,governo,Outros
fc5673b898073f5dd47fefa92f36e1b0,1204494,2190490,camara,204494,Fred Costa,PATRIOTA,MG,Deputado,camara,Prop. Original / Apensada,MESA,1,1,FALSE,governo,Proposição
c307c8064e1f24f581ced9a373258189,1204494,2190491,camara,204494,Fred Costa,PATRIOTA,MG,Deputado,camara,Prop. Original / Apensada,CTASP,1,1,TRUE,governo,Proposição
3ed5f2c76f7bef67d93d3da8313d5b5d,1204494,2190492,camara,204494,Fred Costa,PATRIOTA,MG,Deputado,camara,Prop. Original / Apensada,CCP,1,1,FALSE,governo,Proposição
108e21d58875bbb9fd2e216ea1aec257,1204494,2190493,camara,204494,Fred Costa,PATRIOTA,MG,Deputado,camara,Prop. Original / Apensada,CCP,1,1,FALSE,governo,Proposição
31756ad279bb27c1d3e38f800317792b,1204505,2190495,camara,204505,Vavá Martins,REPUBLICANOS,PA,Deputado,camara,Parecer,CMADS,4,4,TRUE,governo,Outros
31756ad279bb27c1d3e38f800317792b,1204457,2190495,camara,204457,Juninho Do Pneu,DEM,RJ,Deputado,camara,Prop. Original / Apensada,CCJC,1,1,TRUE,governo,Proposição
31756ad279bb27c1d3e38f800317792b,1204494,2190495,camara,204494,Fred Costa,PATRIOTA,MG,Deputado,camara,Prop. Original / Apensada,CCP,1,1,FALSE,governo,Proposição
31756ad279bb27c1d3e38f800317792b,1204505,2190495,camara,204505,Vavá Martins,REPUBLICANOS,PA,Deputado,camara,Emenda,CMADS,1,1,TRUE,governo,Proposição
31756ad279bb27c1d3e38f800317792b,1204530,2190495,camara,204530,Rodrigo Agostinho,PSB,SP,Deputado,camara,Prop. Original / Apensada,CCJC,1,1,TRUE,oposição,Proposição
15dbe4328ddcbb677a040a03a4ffbc90,1204488,2190496,camara,204488,Célio Studart,PV,CE,Deputado,camara,Prop. Original / Apensada,MESA,3,3,FALSE,governo,Proposição
