id_leggo,id_autor,nome,partido,uf,bancada,casa_autor,nome_eleitoral,node_size,id_autor_parlametria
0095d6a35cbf93726c364328e1ab42e5,74158,Dep. Mário Heringer,PDT,MG,oposição,camara,Dep. Mário Heringer (PDT/MG),1,174158
00d8d1830279eecbe7cfb788b55cf884,133968,Dep. Paulo Ramos,PDT,RJ,oposição,camara,Dep. Paulo Ramos (PDT/RJ),1,1133968
00d8d1830279eecbe7cfb788b55cf884,204448,Dep. Luiz Antônio Corrêa,S.PART.,RJ,governo,camara,Dep. Luiz Antônio Corrêa (S.PART./RJ),1,1204448
010f108d87169e77e6d08336510fdcac,178986,Dep. Nilto Tatto,PT,SP,oposição,camara,Dep. Nilto Tatto (PT/SP),1,1178986
012e75f023ca113fee1251c10c706f8c,204488,Dep. Célio Studart,PV,CE,governo,camara,Dep. Célio Studart (PV/CE),1,1204488
012e75f023ca113fee1251c10c706f8c,204494,Dep. Fred Costa,PATRIOTA,MG,governo,camara,Dep. Fred Costa (PATRIOTA/MG),1,1204494
0173dd266d3674d4493fe0b02f14dabf,204538,Dep. Paulo Bengtson,PTB,PA,governo,camara,Dep. Paulo Bengtson (PTB/PA),1,1204538
01ba8d31d5ea4a3e0eb642761b6e9d80,204488,Dep. Célio Studart,PV,CE,governo,camara,Dep. Célio Studart (PV/CE),1,1204488
01c04d6284a833b4f7e9842c9a9c5b8c,204488,Dep. Célio Studart,PV,CE,governo,camara,Dep. Célio Studart (PV/CE),1,1204488
01c3291306586541b3164eaede8d2af1,160535,Dep. Marcon,PT,RS,oposição,camara,Dep. Marcon (PT/RS),0.875,1160535
01c3291306586541b3164eaede8d2af1,160610,Dep. Valmir Assunção,PT,BA,oposição,camara,Dep. Valmir Assunção (PT/BA),0.875,1160610
01c3291306586541b3164eaede8d2af1,178970,Dep. João Daniel,PT,SE,oposição,camara,Dep. João Daniel (PT/SE),0.875,1178970
01c3291306586541b3164eaede8d2af1,178986,Dep. Nilto Tatto,PT,SP,oposição,camara,Dep. Nilto Tatto (PT/SP),0.875,1178986
01c3291306586541b3164eaede8d2af1,204370,Dep. Célio Moura,PT,TO,oposição,camara,Dep. Célio Moura (PT/TO),0.875,1204370
