id_principal,casa,id_documento,sigla,descricao_tipo_documento,id_autor,data,url_inteiro_teor,id_leggo,peso_autor_documento,casa_autor,nome_eleitoral,autores,id_autor_parlametria,tipo_documento,tipo_acao
2190446,camara,2190446,PL 18/2019,Projeto de Lei,178927,2019-02-04,http://www.camara.gov.br/proposicoesWeb/prop_mostrarintegra?codteor=1706821,6d2bbca6eb76e7411882054a60839644,0.1,camara,Dep. Aliel Machado (PSB/PR),Dep. Aliel Machado (PSB/PR),1178927,Prop. Original / Apensada,Proposição
2190446,camara,2190446,PL 18/2019,Projeto de Lei,204371,2019-02-04,http://www.camara.gov.br/proposicoesWeb/prop_mostrarintegra?codteor=1706821,6d2bbca6eb76e7411882054a60839644,0.1,camara,Dep. Felipe Rigoni (PSB/ES),Dep. Felipe Rigoni (PSB/ES),1204371,Prop. Original / Apensada,Proposição
2190446,camara,2190446,PL 18/2019,Projeto de Lei,204542,2019-02-04,http://www.camara.gov.br/proposicoesWeb/prop_mostrarintegra?codteor=1706821,6d2bbca6eb76e7411882054a60839644,0.1,camara,Dep. Denis Bezerra (PSB/CE),Dep. Denis Bezerra (PSB/CE),1204542,Prop. Original / Apensada,Proposição
2190446,camara,2190446,PL 18/2019,Projeto de Lei,204525,2019-02-04,http://www.camara.gov.br/proposicoesWeb/prop_mostrarintegra?codteor=1706821,6d2bbca6eb76e7411882054a60839644,0.1,camara,Dep. Rosana Valle (PSB/SP),Dep. Rosana Valle (PSB/SP),1204525,Prop. Original / Apensada,Proposição
2190446,camara,2190446,PL 18/2019,Projeto de Lei,204405,2019-02-04,http://www.camara.gov.br/proposicoesWeb/prop_mostrarintegra?codteor=1706821,6d2bbca6eb76e7411882054a60839644,0.1,camara,Dep. Liziane Bayer (PSB/RS),Dep. Liziane Bayer (PSB/RS),1204405,Prop. Original / Apensada,Proposição
2190446,camara,2190446,PL 18/2019,Projeto de Lei,204561,2019-02-04,http://www.camara.gov.br/proposicoesWeb/prop_mostrarintegra?codteor=1706821,6d2bbca6eb76e7411882054a60839644,0.1,camara,Dep. Bira Do Pindaré (PSB/MA),Dep. Bira Do Pindaré (PSB/MA),1204561,Prop. Original / Apensada,Proposição
2190446,camara,2190446,PL 18/2019,Projeto de Lei,204530,2019-02-04,http://www.camara.gov.br/proposicoesWeb/prop_mostrarintegra?codteor=1706821,6d2bbca6eb76e7411882054a60839644,0.1,camara,Dep. Rodrigo Agostinho (PSB/SP),Dep. Rodrigo Agostinho (PSB/SP),1204530,Prop. Original / Apensada,Proposição
2190446,camara,2190446,PL 18/2019,Projeto de Lei,160511,2019-02-04,http://www.camara.gov.br/proposicoesWeb/prop_mostrarintegra?codteor=1706821,6d2bbca6eb76e7411882054a60839644,0.1,camara,Dep. Alessandro Molon (PSB/RJ),Dep. Alessandro Molon (PSB/RJ),1160511,Prop. Original / Apensada,Proposição
2190446,camara,2190446,PL 18/2019,Projeto de Lei,204429,2019-02-04,http://www.camara.gov.br/proposicoesWeb/prop_mostrarintegra?codteor=1706821,6d2bbca6eb76e7411882054a60839644,0.1,camara,Dep. João H. Campos (PSB/PE),Dep. João H. Campos (PSB/PE),1204429,Prop. Original / Apensada,Proposição
2190446,camara,2190446,PL 18/2019,Projeto de Lei,160528,2019-02-04,http://www.camara.gov.br/proposicoesWeb/prop_mostrarintegra?codteor=1706821,6d2bbca6eb76e7411882054a60839644,0.1,camara,Dep. Danilo Cabral (PSB/PE),Dep. Danilo Cabral (PSB/PE),1160528,Prop. Original / Apensada,Proposição
2190446,camara,2190460,PL 30/2019,Projeto de Lei,204499,2019-02-04,http://www.camara.gov.br/proposicoesWeb/prop_mostrarintegra?codteor=1707351,6d2bbca6eb76e7411882054a60839644,1,camara,Dep. Cássio Andrade (PSB/PA),Dep. Cássio Andrade (PSB/PA),1204499,Prop. Original / Apensada,Proposição
2190446,camara,2190580,PL 110/2019,Projeto de Lei,204496,2019-02-04,http://www.camara.gov.br/proposicoesWeb/prop_mostrarintegra?codteor=1707497,6d2bbca6eb76e7411882054a60839644,1,camara,Dep. Celso Sabino (PSDB/PA),Dep. Celso Sabino (PSDB/PA),1204496,Prop. Original / Apensada,Proposição
2190446,camara,2190584,PL 109/2019,Projeto de Lei,204530,2019-02-04,http://www.camara.gov.br/proposicoesWeb/prop_mostrarintegra?codteor=1707495,6d2bbca6eb76e7411882054a60839644,1,camara,Dep. Rodrigo Agostinho (PSB/SP),Dep. Rodrigo Agostinho (PSB/SP),1204530,Prop. Original / Apensada,Proposição
2190446,camara,2190690,PL 184/2019,Projeto de Lei,204508,2019-02-04,http://www.camara.gov.br/proposicoesWeb/prop_mostrarintegra?codteor=1708311,6d2bbca6eb76e7411882054a60839644,1,camara,Dep. Igor Timo (PODE/MG),Dep. Igor Timo (PODE/MG),1204508,Prop. Original / Apensada,Proposição
2190446,camara,2190896,PL 336/2019,Projeto de Lei,164360,2019-02-04,http://www.camara.gov.br/proposicoesWeb/prop_mostrarintegra?codteor=1707257,6d2bbca6eb76e7411882054a60839644,1,camara,Dep. Carmen Zanotto (CIDADANIA/SC),Dep. Carmen Zanotto (CIDADANIA/SC),1164360,Prop. Original / Apensada,Proposição
2190446,camara,2190943,PL 356/2019,Projeto de Lei,178832,2019-02-05,http://www.camara.gov.br/proposicoesWeb/prop_mostrarintegra?codteor=1707303,6d2bbca6eb76e7411882054a60839644,1,camara,Dep. Leandre (PV/PR),Dep. Leandre (PV/PR),1178832,Prop. Original / Apensada,Proposição
