id_leggo,casa_origem,casa_revisora,criterio_aprovada_em_uma_casa,casa_aprovacao,data_aprovacao,criterio_avancou_comissoes,comissoes_camara,comissoes_senado,criterio_req_urgencia_apresentado,casa_req_urgencia_apresentado,data_req_urgencia_apresentado,criterio_req_urgencia_aprovado,casa_req_urgencia_aprovado,data_req_urgencia_aprovado
34c210b75a62b7086912e7e4da5e0fb4,camara,senado,FALSE,NA,NA,TRUE,CCJC,,FALSE,NA,NA,FALSE,NA,NA
b321c0eb9f01c9e1c021eefad355d4a2,camara,senado,FALSE,NA,NA,FALSE,NA,NA,FALSE,NA,NA,FALSE,NA,NA
be5fb3873319aedcbcedf8559ad48347,camara,senado,FALSE,NA,NA,FALSE,NA,NA,TRUE,camara,2019-10-09T22:51:00Z,FALSE,NA,NA
30e3dae6608057d51061bb6b3fa83c91,camara,senado,FALSE,NA,NA,FALSE,NA,NA,FALSE,NA,NA,FALSE,NA,NA
b073cd843864361437c1864ca2cc7d7c,camara,senado,FALSE,NA,NA,FALSE,NA,NA,FALSE,NA,NA,FALSE,NA,NA
39986650f48804888397f6c8c9be82b5,camara,senado,FALSE,NA,NA,FALSE,NA,NA,FALSE,NA,NA,FALSE,NA,NA
62118b2465ef9d3803ed06ee3ef5ff0c,camara,senado,FALSE,NA,NA,FALSE,NA,NA,FALSE,NA,NA,FALSE,NA,NA
4ee4f8ef2d5c6158f551268de50b3e5c,camara,senado,FALSE,NA,NA,TRUE,CCJC,,FALSE,NA,NA,FALSE,NA,NA
e306a8f54c526233b4379e2bf6a1c398,camara,senado,FALSE,NA,NA,FALSE,NA,NA,FALSE,NA,NA,FALSE,NA,NA
0d4b2dc033002af39e7e4c2051f3c5d8,camara,senado,FALSE,NA,NA,FALSE,NA,NA,FALSE,NA,NA,FALSE,NA,NA
2758a9e192a8f87df74b9a4f8c2d00ae,camara,senado,FALSE,NA,NA,FALSE,NA,NA,FALSE,NA,NA,FALSE,NA,NA
bcdb027b6def7d08761a0e977d11d390,camara,senado,FALSE,NA,NA,FALSE,NA,NA,FALSE,NA,NA,FALSE,NA,NA
9bacc907e06dfa32c1058ee3382c6bfc,camara,senado,FALSE,NA,NA,FALSE,NA,NA,FALSE,NA,NA,FALSE,NA,NA
045dac0441aa55b94d3c98c71bfd99a7,camara,senado,FALSE,NA,NA,FALSE,NA,NA,FALSE,NA,NA,FALSE,NA,NA
ecb9f34c2e2ff8f7dff71edae35a3d74,camara,senado,FALSE,NA,NA,FALSE,NA,NA,FALSE,NA,NA,FALSE,NA,NA
a6b1c9530d1079b3af578dd8497ffc8b,camara,senado,FALSE,NA,NA,FALSE,NA,NA,FALSE,NA,NA,FALSE,NA,NA
cc6b68ea3f83aa37960cbacd39b32def,camara,senado,FALSE,NA,NA,FALSE,NA,NA,TRUE,camara,2019-11-27T22:42:00Z,FALSE,NA,NA
1716fdf59ce6d94534bc34126325c60c,camara,senado,FALSE,NA,NA,FALSE,NA,NA,FALSE,NA,NA,FALSE,NA,NA
bc2805ca8e5cae102975e472d121a44f,camara,senado,FALSE,NA,NA,FALSE,NA,NA,TRUE,camara,2019-12-03T19:41:00Z,FALSE,NA,NA
9c9dcf8210afeb68df3c972520f58eeb,camara,senado,TRUE,camara,NA,FALSE,NA,NA,TRUE,camara,2019-05-28T15:45:00Z,TRUE,camara,2019-06-05T09:00:00Z
6d2bbca6eb76e7411882054a60839644,camara,senado,FALSE,NA,NA,FALSE,NA,NA,FALSE,NA,NA,FALSE,NA,NA
eedf2f7e172a0534c8eeed806eef9164,camara,senado,FALSE,NA,NA,FALSE,NA,NA,FALSE,NA,NA,FALSE,NA,NA
35a3f5cde19057fe000df1c40f39e983,camara,senado,FALSE,NA,NA,FALSE,NA,NA,TRUE,camara,2019-04-09T11:59:00Z,TRUE,camara,2019-06-04T14:00:00Z
326375760b23616c9ec0f8557bfc2012,camara,senado,FALSE,NA,NA,TRUE,CCJC,,FALSE,NA,NA,FALSE,NA,NA
c307c8064e1f24f581ced9a373258189,camara,senado,FALSE,NA,NA,FALSE,NA,NA,FALSE,NA,NA,FALSE,NA,NA
31756ad279bb27c1d3e38f800317792b,camara,senado,FALSE,NA,NA,FALSE,NA,NA,FALSE,NA,NA,FALSE,NA,NA
15dbe4328ddcbb677a040a03a4ffbc90,camara,senado,FALSE,NA,NA,FALSE,NA,NA,FALSE,NA,NA,FALSE,NA,NA
1db364484a7f086878f6889f701dc1c8,camara,senado,FALSE,NA,NA,FALSE,NA,NA,FALSE,NA,NA,FALSE,NA,NA
200a3857111591f2c61c174649fc1b6d,camara,senado,TRUE,camara,NA,TRUE,CCJC,,FALSE,NA,NA,FALSE,NA,NA
a390de55e690779cf6eed181b262c302,camara,senado,FALSE,NA,NA,FALSE,NA,NA,FALSE,NA,NA,FALSE,NA,NA
f01807424ee1b2202e3a5c61e1fc70f4,camara,senado,FALSE,NA,NA,FALSE,NA,NA,FALSE,NA,NA,FALSE,NA,NA
f1840c851886c762148d7f38a928e7fe,camara,senado,FALSE,NA,NA,FALSE,NA,NA,FALSE,NA,NA,FALSE,NA,NA
bffa5c87a192f64feea4800fe9a69055,camara,senado,FALSE,NA,NA,FALSE,NA,NA,FALSE,NA,NA,FALSE,NA,NA
404f6c4f573e815e22349d2eece0cbba,camara,senado,FALSE,NA,NA,FALSE,NA,NA,FALSE,NA,NA,FALSE,NA,NA
3c20b1d1c9c505b731d438b5f24a13a1,camara,senado,FALSE,NA,NA,FALSE,NA,NA,FALSE,NA,NA,FALSE,NA,NA
467e50ee465439697699737e87558cd0,camara,senado,FALSE,NA,NA,FALSE,NA,NA,FALSE,NA,NA,FALSE,NA,NA
f684107400cb49c402ddd00a091836a3,camara,senado,FALSE,NA,NA,FALSE,NA,NA,FALSE,NA,NA,FALSE,NA,NA
5b9a268545839d1c2293a226d28cd2d4,camara,senado,FALSE,NA,NA,FALSE,NA,NA,FALSE,NA,NA,FALSE,NA,NA
fe67ca9f845bd8ec47aeb8bc5f190c67,camara,senado,FALSE,NA,NA,FALSE,NA,NA,FALSE,NA,NA,FALSE,NA,NA
78e6064a39b45477be3c601886231bc9,camara,senado,FALSE,NA,NA,FALSE,NA,NA,FALSE,NA,NA,FALSE,NA,NA
b81b46388c193eeb4fe02d7585f05c1b,camara,senado,FALSE,NA,NA,TRUE,CCJC,,FALSE,NA,NA,FALSE,NA,NA
80e0b61f9aedc241f002c936ffe90eea,camara,senado,FALSE,NA,NA,FALSE,NA,NA,FALSE,NA,NA,FALSE,NA,NA
9482830e26c8499433b8e8f265c93957,camara,senado,FALSE,NA,NA,TRUE,CCJC,,FALSE,NA,NA,FALSE,NA,NA
b7afeb393bdba2c13b9cfd28dd77ae83,camara,senado,FALSE,NA,NA,FALSE,NA,NA,FALSE,NA,NA,FALSE,NA,NA
92acb771640660fb06bcfa40d7e382bc,camara,senado,FALSE,NA,NA,FALSE,NA,NA,FALSE,NA,NA,FALSE,NA,NA
22ef3164bd38ea1692f22911acc55c55,camara,senado,FALSE,NA,NA,FALSE,NA,NA,FALSE,NA,NA,FALSE,NA,NA
4b6ba8f3a0541a23fe4dc76737845e60,camara,senado,FALSE,NA,NA,FALSE,NA,NA,FALSE,NA,NA,FALSE,NA,NA
09cf44cab51a171d95f9a8c13c8e41a1,camara,senado,FALSE,NA,NA,FALSE,NA,NA,FALSE,NA,NA,FALSE,NA,NA
